"key","message","comment","context"
"Add on catalog",,,
"All my invoices",,,
"Allow supplier to create products",,,
"App Supplier Portal",,,
"Awaiting invoice",,,
"Awaiting invoices","En espera de facturas",,
"Catalog","Catalogar",,
"Code","Código",,
"Create new product",,,
"Deliveries to prepare","Entregas para preparar",,
"Delivery","Entrega",,
"Description","Descripción",,
"Display product catalog","Mostrar catálogo de productos",,
"Displaying module portal",,,
"Due date","Fecha de vencimiento",,
"Invoice","Factura",,
"Invoice date",,,
"Invoice supplier",,,
"Invoicing","Facturación",,
"Last delivery","Última entrega",,
"Last order","Último pedido",,
"Manage delivery","Gestionar entrega",,
"Manage invoices","Gestionar facturas",,
"Manage purchase orders",,,
"My deliveries","Mis entregas",,
"My invoices","Mis facturas",,
"My purchase orders","Mis ordenes de compra",,
"My space","Mi espacio",,
"Name","Nombre",,
"Next delivery","Próxima entrega",,
"None",,,
"Order","Orden",,
"Orders",,,
"Overdue invoices","Facturas vencidas",,
"Partner","Compañero",,
"Picture","Imagen",,
"Please download a PDF file for invoice.",,,
"Product","Producto",,
"Product created",,,
"Product has no code.",,,
"Product has no name.",,,
"Product supplier",,,
"Purchase currency",,,
"Purchase orders","Ordenes de compra",,
"Purchase price W.T.","Precio de compra WT",,
"Purchase unit",,,
"Quotation In Progress",,,
"Quotation in progress",,,
"Receipt date","Fecha de recepción",,
"Stock move","Movimiento de stock",,
"Stock move information","Información de movimiento de stock",,
"Stock move line","Línea de movimiento de stock",,
"Stock move lines","Líneas de movimiento de stock",,
"Stock move reference","Referencia de movimiento de stock",,
"Stock moves","Movimientos de stock",,
"The code is already in database. Please choose another one.",,,
"Total remaining","Total restante",,
