"name";"roles"
"hr-root";"Timesheet Manager|Timesheet User|Timesheet Read"
"timesheet-root";"Timesheet Manager|Timesheet User|Timesheet Read"
"all-my-timesheet";"Timesheet Manager|Timesheet User|Timesheet Read"
"validate-timesheet";"Timesheet Manager|Timesheet User|Timesheet Read"
"historic-timesheet";"Timesheet Manager|Timesheet User|Timesheet Read"
"time-sheet-timer";"Timesheet Manager|Timesheet User|Timesheet Read"
"time-sheet-report";"Timesheet Manager|Timesheet User|Timesheet Read"
"time-sheet-reminder";"Timesheet Manager|Timesheet User|Timesheet Read"
"all-timesheet";"Timesheet Manager|Timesheet User|Timesheet Read"
"top-menu-hr-my-timesheet";"Timesheet Manager|Timesheet User|Timesheet Read"
"project-spent-time";"Timesheet Manager|Timesheet User|Timesheet Read"
"edit-timesheet";"Timesheet Manager|Timesheet User|Timesheet Read"
