"name";"roles"
"helpdesk-root";"Helpdesk Manager|Helpdesk User|Helpdesk Read"
"helpdesk-ticket-current";"Helpdesk Manager|Helpdesk User|Helpdesk Read"
"helpdesk-my-ticket-all";"Helpdesk Manager|Helpdesk User|Helpdesk Read"
"helpdesk-my-team-ticket-all";"Helpdesk Manager|Helpdesk User|Helpdesk Read"
"helpdesk-not-assigned-ticket";"Helpdesk Manager|Helpdesk User|Helpdesk Read"
"helpdesk-late-ticket";"Helpdesk Manager|Helpdesk User|Helpdesk Read"
"helpdesk-ticket-all";"Helpdesk Manager|Helpdesk User|Helpdesk Read"
"helpdesk-reporting";"Helpdesk Manager|Helpdesk User|Helpdesk Read"
"helpdesk-report-ticket";"Helpdesk Manager|Helpdesk User|Helpdesk Read"
"helpdesk-report-sla";"Helpdesk Manager|Helpdesk User|Helpdesk Read"
"helpdesk-config";"Helpdesk Manager"
"helpdesk-sla-policies-all";"Helpdesk Manager"
"helpdesk-ticket-types-all";"Helpdesk Manager"
