"name";"roles"
"manufacturing-root";"Production Manager|Production User|Production Read"
"manufacturing-root-products";"Production Manager|Production User|Production Read"
"manufacturing-root-bill-of-material";"Production Manager|Production User|Production Read"
"manufacturing-root-prod-process";"Production Manager|Production User|Production Read"
"manufacturing-root-production-order";"Production Manager|Production User|Production Read"
"manufacturing-root-manuf-order";"Production Manager|Production User|Production Read"
"manufacturing-root-operation-order";"Production Manager|Production User|Production Read"
"manufacturing-root-operation-order-planned-calendar";"Production Manager|Production User|Production Read"
"manufacturing-root-operation-order-real-calendar";"Production Manager|Production User|Production Read"
"manufacturing-root-charge-by-machine-dashboard";"Production Manager|Production User|Production Read"
"manufacturing-root-report";"Production Manager|Production User|Production Read"
"menu-manufacturing-dashboard-1";"Production Manager|Production User|Production Read"
"menu-manufacturing-user-dashboard";"Production Manager|Production User|Production Read"
"manufacturing-conf";"Production Manager"
"manufacturing-conf-work-center";"Production Manager"
"manufacturing-conf-machine";"Production Manager"
"manufacturing-conf-cost-sheet-group";"Production Manager"
"manufacturing-conf-configurators";"Production Manager"
"manufacturing-conf-configurators-creator";"Production Manager"
"manufacturing-conf-configurators-configurators";"Production Manager"
"manufacturing-conf-configurators-bom";"Production Manager"
"manufacturing-conf-configurators-prodprocess";"Production Manager"
"manufacturing-conf-configurators-prod-process-line";"Production Manager"
"manufacturing-conf-machine-type";"Production Manager"
"top-manufacturing";"Production Manager|Production User|Production Read"
"top-manufacturing-manuf-order";"Production Manager|Production User|Production Read"
"top-manufacturing-operation-order";"Production Manager|Production User|Production Read"
"top-manufacturing-bill-of-material";"Production Manager|Production User|Production Read"
