"importId";"name";"type";"docType"
1;"General ledger";1;1
2;"General balance";2;1
3;"Detailed customers balance";3;1
4;"Aged balance";4;1
5;"Cheque deposit slip";5;1
6;"Partner general ledger";7;1
7;"Partner balance";6;1
8;"Cash payments summary";10;1
9;"Journal";11;1
10;"VAT Statement on invoices";12;1
11;"VAT Statement on amount received";15;1
12;"Payment differences";13;1
13;"General ledger (old presentation)";14;1
14;"Acquisitions";16;1
15;"Summary of gross values and depreciation";17;1
16;"Analytic balance";2000;1
17;"Analytic general ledger";2001;1
18;"Export journal entry -> Administration";1000;2
19;"Export journal entry -> Acc. Soft.";1001;2
24;"Export general balance -> Acc. Soft.";1010;2
25;"DADS report declaration preparatory process";19;1
26;"DADS report declaration support";20;1
27;"Export N4DS";1011;2
28;"Preparatory declaration DGI 2054";21;1
29;"Preparatory declaration DGI 2055";22;1
101;"P&L";3000;1
200;"Customer / Supplier generated invoices which are due";23;1
201;"Customer / Supplier generated invoices which encountered a payment delay";24;1
