"key","message","comment","context"
"An event will be generated by target, are you sure you want to continue ?",,,
"Attendee",,,
"Attendees",,,
"Both","Les deux",,
"Campaign","Campagne",,
"Campaign Type","Type de campagne",,
"Campaign type","Type de campagne",,
"Campaign types","Types de campagnes",,
"Campaigns","Campagnes",,
"Configuration",,,
"Contact","Contact",,
"Contact/Partners template","Modèle Contact/Tiers",,
"Draft","Brouillon",,
"Duration",,,
"Email sending log","Journal d'envoie d'email",,
"Emailing",,,
"Emails sent successfully","Emails envoyés avec succès",,
"Ended","Terminé",,
"Error in sending an email to the following targets","Erreur lors de l'envoi d'un email aux cibles suivantes",,
"Error in sending emails. Please check the log file generated.","Erreur lors de l'envoi d'emails. Vérifiez s'il vous plaît le journal généré.",,
"Event Type",,,
"Event type",,,
"Event user",,,
"Generate Events",,,
"Generate Targets",,,
"Generate event per target",,,
"Lead",,,
"Lead filters","Filtres sur les pistes",,
"Leads","Pistes",,
"Leads Target List",,,
"Leads template","Modèle Pistes",,
"Marketing","Marketing",,
"Marketing Campaigns","Campagnes marketing",,
"Name","Nom",,
"Open filtered leads",,,
"Open filtered partners",,,
"Open planned events",,,
"Partner","Tiers",,
"Partner filters","Filtres sur les tiers",,
"Partner/Contacts Target List",,,
"Partners","Tiers",,
"Past events",,,
"Planned","Planifié",,
"Planned events",,,
"Please select at least one template",,,
"Please select target","Sélectionnez une cible",,
"Related to",,,
"Related to select",,,
"Select Partner/Contacts","Sélectionnez un Tiers/Contact",,
"Select leads","Sélectionnez une piste",,
"Select type","Sélectionnez un type",,
"Send email","Envoyer l'email",,
"Stage","Etape",,
"Start date time",,,
"Started","Démarré",,
"Subject",,,
"Suspended","Suspendu",,
"Target List",,,
"Target Model",,,
"Target list","Liste des cibles",,
"Target lists","Listes des cibles",,
"Targets to contact",,,
"Template",,,
