"name";"object";"can_read";"can_write";"can_create";"can_remove";"can_export";"condition";"conditionParams";"roleName"
"perm.auth.User.r";"com.axelor.auth.db.User";"x";;;;;;;"Base Read"
"perm.auth.User.rwc";"com.axelor.auth.db.User";"x";"x";"x";;;"self.id = ?";"__user__.id";"Base User"
"perm.auth.User.rwcde";"com.axelor.auth.db.User";"x";"x";"x";"x";"x";;;"Base Manager"
"perm.meta.r";"com.axelor.meta.db.*";"x";;;;;;;"Base Manager"
"perm.meta.r";"com.axelor.meta.db.*";"x";;;;;;;"Base User"
"perm.meta.r";"com.axelor.meta.db.*";"x";;;;;;;"Base Read"
"perm.mail.all";"com.axelor.mail.db.*";"x";"x";"x";"x";"x";;;"Base Manager"
"perm.mail.rwc";"com.axelor.mail.db.*";"x";"x";"x";;;;;"Base User"
"perm.mail.r";"com.axelor.mail.db.*";"x";;;;;;;"Base Read"
"perm.dms.all";"com.axelor.dms.db.*";"x";"x";"x";"x";"x";;;"Base Manager"
"perm.dms.rwc";"com.axelor.dms.db.*";"x";"x";"x";;;;;"Base User"
"perm.dms.r";"com.axelor.dms.db.*";"x";;;;;;;"Base Read"
"perm.team.all";"com.axelor.team.db.*";"x";"x";"x";"x";"x";;;"Base Manager"
"perm.team.rwc";"com.axelor.team.db.*";"x";"x";"x";;;;;"Base User"
"perm.team.r";"com.axelor.team.db.*";"x";;;;;;;"Base Read"
