"importId";"name";"code";"inOutSelect";"typeSelect";"canSelectInPaymentSession";"daysMarginOnPaySession";"accountingMethodSelect";"accountingTriggerSelect";"generateBankOrder";"consoBankOrderLinePerPartner";"orderTypeSelect";"bankOrderExportFolderPath";"bankOrderFileFormat.name"
100;"Enc. Virement";"ENC_VIR";1;9;;7;1;1;;;;;
110;"Enc. Chèque";"ENC_CHQ";1;7;;;;1;;;;;
120;"Enc. Carte bancaire";"ENC_CB";1;6;;;;1;;;;;
130;"Enc. Internet";"ENC_WEB";1;8;;;;1;;;;;
140;"Enc. Prélèvement";"ENC_PRE";1;2;"true";7;1;1;;;;;
150;"Enc. LCR Direct Banque";"ENC_LCR";1;10;;;;1;"true";"true";8;"/bankOrder/";"pain.xxx.cfonb160.dco - LCR"
160;"Enc. Espèces";"ENC_ESP";1;5;;;;1;;;;;
170;"Enc. Autre";"ENC_OTH";1;1;;;;1;;;;;
200;"Dec. Virement";"DEC_VIR";2;9;"true";7;1;1;"true";;1;"/bankOrder/";"pain.001.001.02.sct - Virement SEPA"
210;"Dec. Chèque";"DEC_CHQ";2;7;;;;1;;;;;
220;"Dec. Carte bancaire";"DEC_CB";2;6;;;;1;;;;;
230;"Dec. Prélèvement";"DEC_PRE";2;2;"true";7;1;1;;;;;
240;"Dec. Espèces";"DEC_ESP";2;5;;;;1;;;;;
250;"Dec. TIP";"DEC_TIP";2;3;;;;1;;;;;
260;"Dec. Autres";"DEC_OTH";2;1;;;;1;;;;;
