"code";"parent_code";"name";"accountType.importId";"isRegulatoryAccount";"commonPosition";"reconcileOk";"compatibleAccounts";"useForPartnerBalance";"isTaxAuthorizedOnMoveLine";"isTaxRequiredOnMoveLine";"defaultTax.code";"vatSystemSelect";"isRetrievedOnPaymentSession";"serviceType.code";"manageCutOffPeriod";"statusSelect"
0;;"Racine PCG";"FRA_PCG15";"true";0;;;;;;;0;"false";"NDAS";"false";1
"CL1_5";0;"Comptes de bilan";"FRA_PCG15";"true";0;;;;;;;0;"false";"NDAS";"false";1
"CL6_7";0;"Comptes de gestion";"FRA_PCG15";"true";0;;;;;;;0;"false";"NDAS";"false";1
"CL1";"CL1_5";"Comptes de capitaux";"FRA_PCG15";"true";0;;;;;;;0;"false";"NDAS";"false";1
"CL2";"CL1_5";"Comptes d'immobilisations";"FRA_PCG15";"true";0;;;;;;;0;"false";"NDAS";"false";1
"CL3";"CL1_5";"Comptes de stocks et d'en-cours";"FRA_PCG15";"true";0;;;;;;;0;"false";"NDAS";"false";1
"CL4";"CL1_5";"Comptes de tiers";"FRA_PCG15";"true";0;;;;;;;0;"false";"NDAS";"false";1
"CL5";"CL1_5";"Comptes financiers";"FRA_PCG15";"true";0;;;;;;;0;"false";"NDAS";"false";1
"CL6";"CL6_7";"Comptes de charges";"FRA_PCG15";"true";0;;;;;;;0;"false";"NDAS";"false";1
"CL7";"CL6_7";"Comptes de produits";"FRA_PCG15";"true";0;;;;;;;0;"false";"NDAS";"false";1
"CL8";0;"Comptes spéciaux";"FRA_PCG15";"true";0;;;;;;;0;"false";"NDAS";"false";1
100;"CL1";"Capital et réserves";"FRA_PCG15";"true";0;;;;;;;0;"false";"NDAS";"false";1
101000;100;"Capital";"FRA_PCG6";"true";2;;;;;;;0;"false";"NDAS";"false";1
101100;101000;"Capital souscrit - non appelé";"FRA_PCG6";"true";2;;;;;;;0;"false";"NDAS";"false";1
101200;101000;"Capital souscrit - appelé non versé";"FRA_PCG6";"true";2;;;;;;;0;"false";"NDAS";"false";1
101300;101000;"Capital souscrit - appelé versé";"FRA_PCG6";"true";1;;;;;;;0;"false";"NDAS";"false";1
101310;101300;"Capital non amorti";"FRA_PCG6";"true";2;;;;;;;0;"false";"NDAS";"false";1
101320;101300;"Capital amorti";"FRA_PCG6";"true";2;;;;;;;0;"false";"NDAS";"false";1
101800;101000;"Capital souscrit soumis à des réglementations particulières";"FRA_PCG6";"true";2;;;;;;;0;"false";"NDAS";"false";1
102000;100;"Fonds fiduciaires";"FRA_PCG6";"true";1;;;;;;;0;"false";"NDAS";"false";1
104000;100;"Primes liées au capital social";"FRA_PCG6";"true";2;;;;;;;0;"false";"NDAS";"false";1
