"importId";"reportType_importId";"reportTypeColumnId";"sequence";"typeSelect";"ruleTypeSelect";"label";"code";"styleSelect";"percentageTotalLine";"detailBySelect";"resultSelect";"negateValue";"rule";"accountCode";"analyticAccountCode";"accountTypeSet_code";"accountSet_code";"analyticAccountSet_code";"hidden";"notComputedIfIntersect";"balanceBeforePeriod"
"FRA_PCG10200";;"FRA_PCG100";;1;2;"Montant";"montant";0;;;4;"false";;;;;;;;;
"FRA_PCG10201";"FRA_PCG100";;0;1;1;"ACTIFS";"title1";1;;;;"false";;;;;;;;;
"FRA_PCG10203";"FRA_PCG100";;2;1;2;"Capital souscrit non appelé";"csna";0;;;1;"false";;"109%";;;;;;;
"FRA_PCG10205";"FRA_PCG100";;4;1;2;"Frais d'établissement";"frdet";0;;;1;"false";;"201%";;;;;;;
"FRA_PCG10206";"FRA_PCG100";;5;1;2;"Frais de recherche et de développement";"fdredd";0;;;1;"false";;"203%";;;;;;;
"FRA_PCG10207";"FRA_PCG100";;6;1;2;"Frais de concessions, brevets, licences";"fdcbl";0;;;1;"false";;"205%";;;;;;;
"FRA_PCG10208";"FRA_PCG100";;7;1;2;"Fonds commercial";"fondc";0;;;1;"false";;"206%,207%";;;;;;;
"FRA_PCG10209";"FRA_PCG100";;8;1;2;"Autres";"iiaut";0;;;1;"false";;"208%";;;;;;;
"FRA_PCG10210";"FRA_PCG100";;9;1;2;"Immobilisations incorporelles en cours";"iiec";0;;;1;"false";;"232%";;;;;;;
"FRA_PCG10211";"FRA_PCG100";;10;1;2;"Avances et acomptes";"aveac";0;;;1;"false";;"237%";;;;;;;
"FRA_PCG10212";"FRA_PCG100";;11;1;3;"Immobilisations incorporelles";"immoi";0;;;;"false";"frdet + fdredd + fdcbl + fondc + iiaut + iiec + aveac";;;;;;;;
"FRA_PCG10214";"FRA_PCG100";;13;1;2;"Terrains";"terrain";0;;;1;"false";;"211%,212%";;;;;;;
"FRA_PCG10215";"FRA_PCG100";;14;1;2;"Constructions";"constr";0;;;1;"false";;"213%,214%";;;;;;;
"FRA_PCG10216";"FRA_PCG100";;15;1;2;"Installations techniques, matériel et outillage";"itmo";0;;;1;"false";;"215%";;;;;;;
"FRA_PCG10217";"FRA_PCG100";;16;1;2;"Autres";"icaut";0;;;1;"false";;"218%";;;;;;;
"FRA_PCG10218";"FRA_PCG100";;17;1;2;"Immobilisations corporelles en cours";"icec";0;;;1;"false";;"231%";;;;;;;
"FRA_PCG10219";"FRA_PCG100";;18;1;2;"Avances et acomptes";"avetac";0;;;1;"false";;"238%";;;;;;;
"FRA_PCG10220";"FRA_PCG100";;19;1;3;"Immobilisation corporelles";"immoc";0;;;;"false";"terrain + constr + itmo + icaut + icec + avetac";;;;;;;;
"FRA_PCG10222";"FRA_PCG100";;21;1;2;"Participations";"parti";0;;;1;"false";;"261%,266%";;;;;;;
"FRA_PCG10223";"FRA_PCG100";;22;1;2;"Créances rattachées à des participations";"cradp";0;;;1;"false";;"267%,268%";;;;;;;
"FRA_PCG10224";"FRA_PCG100";;23;1;2;"Titres immobilisés de l'activité de portefeuille";"tidladp";0;;;1;"false";;"273%";;;;;;;
"FRA_PCG10225";"FRA_PCG100";;24;1;2;"Autres titres immobilisés";"autti";0;;;1;"false";;"271%,272%";;;;;;;
"FRA_PCG10226";"FRA_PCG100";;25;1;2;"Prêts";"prets";0;;;1;"false";;"274%";;;;;;;
"FRA_PCG10227";"FRA_PCG100";;26;1;2;"Autres";"ifaut";0;;;1;"false";;"275%,2761%";;;;;;;
"FRA_PCG10228";"FRA_PCG100";;27;1;3;"Immobilisations financières";"immof";0;;;;"false";"parti + cradp + tidladp + autti + prets + ifaut";;;;;;;;
"FRA_PCG10230";"FRA_PCG100";;29;1;2;"Matières premières";"matpre";0;;;1;"false";;"31%,32%";;;;;;;
"FRA_PCG10231";"FRA_PCG100";;30;1;2;"En-cours de production";"encdep";0;;;1;"false";;"33%,34%";;;;;;;
"FRA_PCG10232";"FRA_PCG100";;31;1;2;"Produit intermédiaires et finis";"pief";0;;;1;"false";;"35%";;;;;;;
"FRA_PCG10233";"FRA_PCG100";;32;1;2;"Marchandises";"march";0;;;1;"false";;"37%";;;;;;;
"FRA_PCG10234";"FRA_PCG100";;33;1;2;"Avances et acomptes versés sur commandes";"aeavsc";0;;;1;"false";;"4091%";;;;;;;
"FRA_PCG10235";"FRA_PCG100";;34;1;3;"Stocks et en-cours";"seec";0;;;;"false";"matpre + encdep + pief + march + aeavsc";;;;;;;;
"FRA_PCG10237";"FRA_PCG100";;36;1;2;"Créances clients et comptes rattachés";"ccecr";0;;;1;"false";;"411%,413%,416%,418%";;;;;;;
"FRA_PCG10238";"FRA_PCG100";;37;1;2;"Autres créances";"autcr";0;;;1;"false";;"4096%,4097%,4098%,425%,4287%,438700,441%,443%,444%,4452%,4456%,4458%,4487%,451%,455%,4561%,4563%,4564%,4566%,4567%,458%,462%,465%,467%,4687%,478%";;;;;;;
"FRA_PCG10239";"FRA_PCG100";;38;1;3;"Créances";"creances";0;;;;"false";"ccecr + autcr";;;;;;;;
"FRA_PCG10241";"FRA_PCG100";;40;1;2;"Capital souscrit non versé";"csnv";0;;;1;"false";;"4562%";;;;;;;
"FRA_PCG10243";"FRA_PCG100";;42;1;2;"Action propres";"actpro";0;;;1;"false";;"502%";;;;;;;
"FRA_PCG10244";"FRA_PCG100";;43;1;2;"Actions titres";"acttit";0;;;1;"false";;"501%,503%,504%,505%,506%,507%,508%,509%,";;;;;;;
"FRA_PCG10245";"FRA_PCG100";;44;1;3;"VMP";"vmp";0;;;;"false";"actpro + acttit";;;;;;;;
"FRA_PCG10247";"FRA_PCG100";;46;1;2;"Instruments de trésorerie";"insdt";0;;;1;"false";;"52%";;;;;;;
"FRA_PCG10249";"FRA_PCG100";;48;1;2;"Disponibilités";"dispo";0;;;1;"false";;"51%,53%,54%";;;;;;;
"FRA_PCG10251";"FRA_PCG100";;50;1;2;"Charges constatées d'avance";"chcda";0;;;1;"false";;"486%";;;;;;;
"FRA_PCG10253";"FRA_PCG100";;52;1;3;"TOTAL ACTIFS";"totact";1;;;;"false";"csna + immoi + immoc + immof + seec + creances + csnv + vmp + insdt + dispo + chcda";;;;;;;;
"FRA_PCG10256";"FRA_PCG100";;55;1;1;"PASSIFS";"title2";1;;;;"false";;;;;;;;;
"FRA_PCG10258";"FRA_PCG100";;57;1;2;"Capital";"capital";0;;;1;"true";;"101%,108%";;;;;;;
"FRA_PCG10259";"FRA_PCG100";;58;1;2;"Primes d'émission, de fusion, d'apport";"pdedfda";0;;;1;"true";;"104%";;;;;;;
"FRA_PCG10260";"FRA_PCG100";;59;1;2;"Ecart de réévaluation";"ecdere";0;;;1;"true";;"105%";;;;;;;
"FRA_PCG10261";"FRA_PCG100";;60;1;2;"Ecart d'équivalence";"ecdeq";0;;;1;"true";;"107%,1057%";;;;;;;
"FRA_PCG10262";"FRA_PCG100";;61;1;2;"Réserve légale";"resleg";0;;;1;"true";;"1061%";;;;;;;
"FRA_PCG10263";"FRA_PCG100";;62;1;2;"Réserve statuaire";"ressta";0;;;1;"true";;"1063%";;;;;;;
"FRA_PCG10264";"FRA_PCG100";;63;1;2;"Réserve réglementée";"resreg";0;;;1;"true";;"1062%,1064%";;;;;;;
