"importId";"name";"fixedAssetType.code";"journal.code";"depreciationPlanSelect";"numberOfDepreciation";"periodicityTypeSelect";"periodicityInMonth";"durationInMonth";"isProrataTemporis";"computationMethodSelect";"degressiveCoef";"chargeAccount_code";"depreciationAccount_code";"provisionFixedAssetAccount_code";"approExtraordDepreciationExpenseAccount_code";"appProvisionFixedAssetAccount_code";"wbProvisionFixedAssetAccount_code";"capitalDepreciationDerogatoryAccount_code";"expenseDepreciationDerogatoryAccount_code";"incomeDepreciationDerogatoryAccount_code";"ifrsDepreciationAccount_code";"ifrsChargeAccount_code";"debtReceivableAccount_code";"realisedAssetsValueAccount_code";"realisedAssetsIncomeAccount_code"
"FRA_PCG1";"Bâtiments Commerciaux (20 ans)";"IMMO_CORP";"OD_AUTO";"1,2";20;12;12;240;"true";"linear";;"681120";"281300";"291000";"687100";"681620";"781120";145000;687250;787250;;;"462000";"675200";"775200"
"FRA_PCG2";"Bâtiments industriels (20 ans)";"IMMO_CORP";"OD_AUTO";"1,2";20;12;12;240;"true";"linear";;"681120";"281300";"291000";"687100";"681620";"781120";145000;687250;787250;;;"462000";"675200";"775200"
"FRA_PCG3";"Bureaux (25 ans)";"IMMO_CORP";"OD_AUTO";"1,2";25;12;12;300;"true";"linear";;"681120";"281300";"291000";"687100";"681620";"781120";145000;687250;787250;;;"462000";"675200";"775200"
"FRA_PCG4";"Entrepôts (20 ans)";"IMMO_CORP";"OD_AUTO";"1,2";20;12;12;240;"true";"linear";;"681120";"281300";"291000";"687100";"681620";"781120";145000;687250;787250;;;"462000";"675200";"775200"
"FRA_PCG5";"Maçonnerie (15 ans)";"IMMO_CORP";"OD_AUTO";"1,2";15;12;12;180;"true";"linear";;"681120";"281300";"291000";"687100";"681620";"781120";145000;687250;787250;;;"462000";"675200";"775200"
"FRA_PCG6";"Agencements de bureaux (10 ans)";"IMMO_CORP";"OD_AUTO";"1,2";10;12;12;120;"true";"linear";;"681120";"281500";"291000";"687100";"681620";"781120";145000;687250;787250;;;"462000";"675200";"775200"
"FRA_PCG7";"Agencement léger (5 ans)";"IMMO_CORP";"OD_AUTO";"1,2";5;12;12;60;"true";"linear";;"681120";"281500";"291000";"687100";"681620";"781120";145000;687250;787250;;;"462000";"675200";"775200"
"FRA_PCG8";"Peintures, papiers-peints (3 ans)";"IMMO_CORP";"OD_AUTO";"1,2";3;12;12;36;"true";"linear";;"681120";"281500";"291000";"687100";"681620";"781120";145000;687250;787250;;;"462000";"675200";"775200"
"FRA_PCG9";"Revêtements de sols (5 ans)";"IMMO_CORP";"OD_AUTO";"1,2";5;12;12;60;"true";"linear";;"681120";"281500";"291000";"687100";"681620";"781120";145000;687250;787250;;;"462000";"675200";"775200"
"FRA_PCG10";"Mobilier de magasin (10 ans)";"IMMO_CORP";"OD_AUTO";"1,2";10;12;12;120;"true";"linear";;"681120";"281500";"291000";"687100";"681620";"781120";145000;687250;787250;;;"462000";"675200";"775200"
"FRA_PCG11";"Gros travaux dans locaux (5 ans)";"IMMO_CORP";"OD_AUTO";"1,2";5;12;12;60;"true";"linear";;"681120";"281500";"291000";"687100";"681620";"781120";145000;687250;787250;;;"462000";"675200";"775200"
"FRA_PCG12";"Matériel (6,5 ans)";"IMMO_CORP";"OD_AUTO";"1,2";6;12;12;78;"true";"linear";;"681120";"281500";"291000";"687100";"681620";"781120";145000;687250;787250;;;"462000";"675200";"775200"
"FRA_PCG13";"Outillage (5 ans)";"IMMO_CORP";"OD_AUTO";"1,2";5;12;12;60;"true";"linear";;"681120";"281500";"291000";"687100";"681620";"781120";145000;687250;787250;;;"462000";"675200";"775200"
"FRA_PCG14";"Automobiles (4 ans)";"IMMO_CORP";"OD_AUTO";"1,2";4;12;12;48;"true";"linear";;"681120";"281500";"291000";"687100";"681620";"781120";145000;687250;787250;;;"462000";"675200";"775200"
"FRA_PCG15";"Mobilier (10 ans)";"IMMO_CORP";"OD_AUTO";"1,2";10;12;12;120;"true";"linear";;"681120";"281500";"291000";"687100";"681620";"781120";145000;687250;787250;;;"462000";"675200";"775200"
"FRA_PCG16";"Photocopieur (5 ans)";"IMMO_CORP";"OD_AUTO";"1,2";5;12;12;60;"true";"linear";;"681120";"281500";"291000";"687100";"681620";"781120";145000;687250;787250;;;"462000";"675200";"775200"
"FRA_PCG17";"Matériel électrique (6,5 ans)";"IMMO_CORP";"OD_AUTO";"1,2";6;12;12;78;"true";"linear";;"681120";"281500";"291000";"687100";"681620";"781120";145000;687250;787250;;;"462000";"675200";"775200"
"FRA_PCG18";"Téléphone (3 ans)";"IMMO_CORP";"OD_AUTO";"1,2";3;12;12;36;"true";"linear";;"681120";"281500";"291000";"687100";"681620";"781120";145000;687250;787250;;;"462000";"675200";"775200"
"FRA_PCG19";"Ordinateur (3 ans)";"IMMO_CORP";"OD_AUTO";"1,2";3;12;12;36;"true";"linear";;"681120";"281500";"291000";"687100";"681620";"781120";145000;687250;787250;;;"462000";"675200";"775200"
"FRA_PCG20";"Logiciels (2 ans)";"IMMO_INCO";"OD_AUTO";"1,2";2;12;12;24;"true";"linear";;"681110";"280500";"290000";"687100";"681610";"781110";145000;687250;787250;;;"462000";"675100";"775100"
"FRA_PCG21";"Brevets (5 ans)";"IMMO_INCO";"OD_AUTO";"1,2";5;12;12;60;"true";"linear";;"681110";"280500";"290000";"687100";"681610";"781110";145000;687250;787250;;;"462000";"675100";"775100"
