"importId";"name";"code"
"FRA_PCG1";"Avocat";"AVO"
"FRA_PCG2";"Conseil en propriété industrielle";"CPI"
"FRA_PCG3";"Commisaires aux comptes";"COM"
"FRA_PCG4";"Consultant";"CON"
"FRA_PCG5";"Organisme de formation";"FOR"
"FRA_PCG6";"Inspection technique";"ITC"
"FRA_PCG7";"Etude marketing, Etude marché";"EMM"
"FRA_PCG8";"Expert comptable";"EXC"
"FRA_PCG9";"Photographe";"PHO"
"FRA_PCG10";"Apporteur d'affaires";"APA"
"FRA_PCG11";"Recrutement";"REC"
"FRA_PCG12";"Traitement de données";"TRD"
"FRA_PCG13";"Négociations immobilières";"NIM"
"FRA_PCG14";"Organisme de recouvrement";"RCO"
"FRA_PCG15";"Conseiller financier";"CFI"
"FRA_PCG16";"Commerce de gros";"CGR"
