"importId";"tax_code";"startDate";"endDate";"value"
"FRA_PCG1";"N_C";"2000-01-01";"2013-12-31";19.6
"FRA_PCG2";"R1_C";"2012-01-01";"2013-12-31";7
"FRA_PCG3";"R2_C";"2000-01-01";;5.5
"FRA_PCG4";"U_C";"2000-01-01";;2.1
"FRA_PCG5";"X_C";"2000-01-01";;0
"FRA_PCG6";"N_D";"2000-01-01";"2013-12-31";19.6
"FRA_PCG7";7;"R1_D";"2012-01-01";"2013-12-31";7
"FRA_PCG8";"R2_D";"2000-01-01";;5.5
"FRA_PCG9";"U_D";"2000-01-01";;2.1
"FRA_PCG10";"X_D";"2000-01-01";;0
"FRA_PCG11";"N_C";"2014-01-01";;20
"FRA_PCG12";"R1_C";"2014-01-01";;10
"FRA_PCG13";"N_D";"2014-01-01";;20
"FRA_PCG14";"R1_D";"2014-01-01";;10
"FRA_PCG15";"UE_X_C";"2000-01-01";;0
"FRA_PCG16";"EXP_X_C";"2000-01-01";;0
"FRA_PCG17";"UE_N_D";"2000-01-01";"2013-12-31";19.6
"FRA_PCG18";"UE_N_D";"2014-01-01";;20
"FRA_PCG19";"UE_R1_D";"2012-01-01";"2013-12-31";7.0
"FRA_PCG20";"UE_R1_D";"2014-01-01";;10
"FRA_PCG21";"UE_R2_D";"2000-01-01";;5.5
"FRA_PCG22";"UE_U_D";"2000-01-01";;2.1
"FRA_PCG23";"UE_X_D";"2000-01-01";;0
"FRA_PCG24";"IMP_X_D";"2000-01-01";;0
"FRA_PCG25";"UE_N_D_AUTOLIQ";"2014-01-01";;"20.00"
"FRA_PCG26";"UE_R1_D_AUTOLIQ";"2014-01-01";;"10.00"
"FRA_PCG27";"UE_R2_D_AUTOLIQ";"2000-01-01";;"05.50"
"FRA_PCG28";"UE_U_D_AUTOLIQ";"2000-01-01";;"02.10"
