"importId";"metaModel";"metaField";"anonymizer_importId";"useFakeData"
"30";"Lead";"officeName";"2";"false"
"31";"Lead";"department";"2";"false"
"32";"Lead";"referredBy";"2";"false"
"33";"Lead";"contactDate";"2";"false"
"34";"Lead";"titleSelect";"2";"false"
"35";"Lead";"fixedPhone";"2";"false"
"36";"Lead";"webSite";"2";"false"
"37";"Lead";"fullName";"2";"false"
"38";"Lead";"firstName";"2";"false"
"39";"Lead";"mobilePhone";"2";"false"
"40";"Lead";"name";"2";"false"
"41";"Lead";"primaryAddress";"2";"false"
"42";"Lead";"primaryPostalCode";"2";"false"
"43";"Lead";"enterpriseName";"2";"false"

