"name";"roles"
"hr-root";"Employee Manager|Employee User|Employee Read"
"hr-root-emp-mgt";"Employee Manager|Employee User|Employee Read"
"employee-all";"Employee Manager|Employee User|Employee Read"
"all-employment-contract";"Employee Manager|Employee User|Employee Read"
"all-payroll-preparation";"Employee Manager|Employee User|Employee Read"
"all-lunch-voucher-mgt";"Employee Manager|Employee User|Employee Read"
"hr-employee-bonus-mgt";"Employee Manager|Employee User|Employee Read"
"hr-root-emp-mgt-conf";"Employee Manager"
"hr-conf-product-activity";"Employee Manager"
"end-of-contract-reason-all";"Employee Manager"
"employment-contract-template-all";"Employee Manager"
"hr-employee-bonus-type";"Employee Manager"
"hr-employment-contract-type";"Employee Manager"
"hr-conf-payroll-year";"Employee Manager"
"hr-conf-payroll-period";"Employee Manager"
"hr-conf-fiscal-period";"Employee Manager"
"plannings-all";"Employee Manager"
"event-planning-all";"Employee Manager"
"weekly-planning-all";"Employee Manager"
"admin-root-batch-hr";"Employee Manager"
"hr-report-root";"Employee Manager|Employee User|Employee Read"
"menu-hr-manager-dashboard";"Employee Manager|Employee User|Employee Read"
"menu-hr-user-dashboard";"Employee Manager|Employee User|Employee Read"
"top-menu-hr";"Employee Manager|Employee User|Employee Read"
