"name";"roles"
"hr-root";"Leave Manager|Leave User|Leave Read"
"leave-request-root";"Leave Manager|Leave User|Leave Read"
"edit-leave-request";"Leave Manager|Leave User|Leave Read"
"all-leave-request";"Leave Manager|Leave User|Leave Read"
"validate-leave-request";"Leave Manager|Leave User|Leave Read"
"historic-leave-request";"Leave Manager|Leave User|Leave Read"
"leave-request-root-leave-calendar";"Leave Manager|Leave User|Leave Read"
"leave-request-to-justify";"Leave Manager|Leave User|Leave Read"
"leave-request-conf";"Leave Manager"
"leave-reason-all";"Leave Manager"
"top-menu-hr-my-leave-request";"Leave Manager|Leave User|Leave Read"
