"name";"object";"can_read";"can_write";"can_create";"can_remove";"can_export";"condition";"conditionParams";"roleName"
"perm.hr.LeaveReason.r";"com.axelor.apps.hr.db.LeaveReason";"x";;;;;;;"Leave Read"
"perm.hr.LeaveRequest.r";"com.axelor.apps.hr.db.LeaveRequest";"x";;;;;"self.company.id in (?)";"__user__.companySet.id.plus(0)";"Leave Read"
"perm.hr.LeaveManagement.r";"com.axelor.apps.hr.db.LeaveManagement";"x";;;;;;;"Leave Read"
"perm.hr.LeaveLine.r";"com.axelor.apps.hr.db.LeaveLine";"x";;;;;;;"Leave Read"
"perm.hr.PayrollLeave.r";"com.axelor.apps.hr.db.PayrollLeave";"x";;;;;;;"Leave Read"
"perm.hr.LeaveManagementBatchRule.r";"com.axelor.apps.hr.db.LeaveManagementBatchRule";"x";;;;;;;"Leave Read"
"perm.hr.LeaveReason.rwc";"com.axelor.apps.hr.db.LeaveReason";"x";"x";"x";;;;;"Leave User"
"perm.hr.LeaveRequest.rwc";"com.axelor.apps.hr.db.LeaveRequest";"x";"x";"x";;;"self.company.id in (?)";"__user__.companySet.id.plus(0)";"Leave User"
"perm.hr.LeaveManagement.rwc";"com.axelor.apps.hr.db.LeaveManagement";"x";"x";"x";;;;;"Leave User"
"perm.hr.LeaveLine.rwc";"com.axelor.apps.hr.db.LeaveLine";"x";"x";"x";;;;;"Leave User"
"perm.hr.PayrollLeave.rwc";"com.axelor.apps.hr.db.PayrollLeave";"x";"x";"x";;;;;"Leave User"
"perm.hr.LeaveManagementBatchRule.rwc";"com.axelor.apps.hr.db.LeaveManagementBatchRule";"x";"x";"x";;;;;"Leave User"
"perm.hr.LeaveReason.rwcde";"com.axelor.apps.hr.db.LeaveReason";"x";"x";"x";"x";"x";;;"Leave Manager"
"perm.hr.LeaveRequest.rwcde";"com.axelor.apps.hr.db.LeaveRequest";"x";"x";"x";"x";"x";"self.company.id in (?)";"__user__.companySet.id.plus(0)";"Leave Manager"
"perm.hr.LeaveManagement.rwcde";"com.axelor.apps.hr.db.LeaveManagement";"x";"x";"x";"x";"x";;;"Leave Manager"
"perm.hr.LeaveLine.rwcde";"com.axelor.apps.hr.db.LeaveLine";"x";"x";"x";"x";"x";;;"Leave Manager"
"perm.hr.PayrollLeave.rwcde";"com.axelor.apps.hr.db.PayrollLeave";"x";"x";"x";"x";"x";;;"Leave Manager"
"perm.hr.LeaveManagementBatchRule.rwcde";"com.axelor.apps.hr.db.LeaveManagementBatchRule";"x";"x";"x";"x";"x";;;"Leave Manager"
