"name";"object";"can_read";"can_write";"can_create";"can_remove";"can_export";"condition";"conditionParams";"roleName"
"perm.hr.Expense.r";"com.axelor.apps.hr.db.Expense";"x";;;;;"self.company.id in (?)";"__user__.companySet.id.plus(0)";"Expense Read"
"perm.hr.ExpenseLine.r";"com.axelor.apps.hr.db.ExpenseLine";"x";;;;;;;"Expense Read"
"perm.hr.Expense.rwc";"com.axelor.apps.hr.db.Expense";"x";"x";"x";;;"self.company.id in (?)";"__user__.companySet.id.plus(0)";"Expense User"
"perm.hr.ExpenseLine.rwc";"com.axelor.apps.hr.db.ExpenseLine";"x";"x";"x";;;;;"Expense User"
"perm.hr.Expense.rwcde";"com.axelor.apps.hr.db.Expense";"x";"x";"x";"x";"x";"self.company.id in (?)";"__user__.companySet.id.plus(0)";"Expense Manager"
"perm.hr.ExpenseLine.rwcde";"com.axelor.apps.hr.db.ExpenseLine";"x";"x";"x";"x";"x";;;"Expense Manager"
"perm.hr.KilometricAllowParam.r";"com.axelor.apps.hr.db.KilometricAllowParam";"x";;;;;;;"Expense Read"
"perm.hr.KilometricLog.r";"com.axelor.apps.hr.db.KilometricLog";"x";;;;;;;"Expense Read"
"perm.hr.KilometricAllowanceRate.r";"com.axelor.apps.hr.db.KilometricAllowanceRate";"x";;;;;;;"Expense Read"
"perm.hr.KilometricAllowanceRule.r";"com.axelor.apps.hr.db.KilometricAllowanceRule";"x";;;;;;;"Expense Read"
"perm.hr.KilometricAllowParam.rwc";"com.axelor.apps.hr.db.KilometricAllowParam";"x";"x";"x";;;;;"Expense User"
"perm.hr.KilometricLog.rwc";"com.axelor.apps.hr.db.KilometricLog";"x";"x";"x";;;;;"Expense User"
"perm.hr.KilometricAllowanceRate.rwc";"com.axelor.apps.hr.db.KilometricAllowanceRate";"x";"x";"x";;;;;"Expense User"
"perm.hr.KilometricAllowanceRule.rwc";"com.axelor.apps.hr.db.KilometricAllowanceRule";"x";"x";"x";;;;;"Expense User"
"perm.hr.KilometricAllowParam.rwcde";"com.axelor.apps.hr.db.KilometricAllowParam";"x";"x";"x";"x";"x";;;"Expense Manager"
"perm.hr.KilometricLog.rwcde";"com.axelor.apps.hr.db.KilometricLog";"x";"x";"x";"x";"x";;;"Expense Manager"
"perm.hr.KilometricAllowanceRate.rwcde";"com.axelor.apps.hr.db.KilometricAllowanceRate";"x";"x";"x";"x";"x";;;"Expense Manager"
"perm.hr.KilometricAllowanceRule.rwcde";"com.axelor.apps.hr.db.KilometricAllowanceRule";"x";"x";"x";"x";"x";;;"Expense Manager"
