"importId";"code";"name";"company.importId";"analysisMethod.importId"
"1";"M1";"M1 : Material";"1";"1"
"2";"M2";"M2 : Man power";"1";"1"
"3";"M3";"M3 : Machine";"1";"1"
"4";"M4";"M4 : Method";"1";"1"
"5";"M5";"M5 : Milieu";"1";"1"
"6";"M6";"M6 : Management";"1";"1"
"7";"M7";"M7 : Means of finance";"1";"1"
"8";"M8";"M8 : Maintainence";"1";"1"
"9";"WHO";"Who";"1";"1"
"10";"WHAT";"What";"1";"1"
"11";"WHERE";"Where";"1";"1"
"12";"WHEN";"When";"1";"1"
"13";"HOW";"How";"1";"1"
"14";"HOWM";"How much";"1";"1"
"15";"WHY";"Why";"1";"1"
