"importId";"code";"name";"company.importId";"branch.importId"
"1";"MAN1";"Shock or clumsiness";"1";"2"
"2";"MIL1";"Temperature/humidity fault";"1";"5"
"3";"MAT1";"Material defect";"1";"1"
"4";"MAC1";"Faulty tooling";"1";"3"
"5";"MET1";"Programming error";"1";"4"
"6";"MAN4";"Human error";"1";"2"
"7";"MET2";"Industrialization error";"1";"4"
"8";"MAT4";"FIFO not respected";"1";"1"
"9";"MANA1";"Missing FAI information";"1";"6"
"10";"MAI";"Preventive maintenance not carried out";"1";"8"
"11";"MAN2";"Lack of training";"1";"2"
"12";"MAV3";"Incorrect calibration";"1";"3"
"13";"MOF";"Hardware not replaced";"1";"7"
"14";"MAN3";"Non-compliance with instructions";"1";"2"
"15";"MAC2";"Malfunction";"1";"3"
"16";"MAT2";"Material qualification";"1";"1"
"17";"MAT3";"Surface treatment";"1";"1"
"18";"WHO1";"Manager";"1";"9"
"19";"WHAT1";"Tool";"1";"10"
"20";"WHAT2";"Machine";"1";"10"
"21";"WHERE1";"Plant";"1";"11"
"22";"WHERE2";"Transport";"1";"11"
"23";"WHEN1";"Current week";"1";"12"
"24";"WHEN2";"Current month";"1";"12"
"25";"WHEN3";"Current year";"1";"12"
"26";"WHEN4";"More than a year ago";"1";"12"
"27";"HOW1";"Use of a machine";"1";"13"
"28";"HOW2";"Use of a tool";"1";"13"
"29";"HOW3";"Use of lifting equipment";"1";"13"
"30";"HOWM1";"Limited batch of parts";"1";"14"
"31";"HOWM2";"Complete batch";"1";"14"
"32";"WHY1";"Incorrect procedure reading";"1";"15"
"33";"WHY2";"Handling error";"1";"15"
