"importId";"tax.code";"startDate";"endDate";"value"
1;"N_C";"2000-01-01";"2013-12-31";"0.196"
2;"R1_C";"2012-01-01";"2013-12-31";"0.070"
3;"R2_C";"2000-01-01";;"0.055"
4;"U_C";"2000-01-01";;"0.021"
5;"X_C";"2000-01-01";;"0.000"
6;"N_D";"2000-01-01";"2013-12-31";"0.196"
7;"R1_D";"2012-01-01";"2013-12-31";"0.070"
8;"R2_D";"2000-01-01";;"0.055"
9;"U_D";"2000-01-01";;"0.021"
10;"X_D";"2000-01-01";;"0.000"
11;"N_C";"2014-01-01";;"0.20"
12;"R1_C";"2014-01-01";;"0.10"
13;"N_D";"2014-01-01";;"0.20"
14;"R1_D";"2014-01-01";;"0.10"
15;"UE_X_C";"2000-01-01";;"0.000"
16;"EXP_X_C";"2000-01-01";;"0.000"
17;"UE_N_D";"2000-01-01";"2013-12-31";"0.196"
18;"UE_N_D";"2014-01-01";;"0.20"
19;"UE_R1_D";"2012-01-01";"2013-12-31";"0.070"
20;"UE_R1_D";"2014-01-01";;"0.10"
21;"UE_R2_D";"2000-01-01";;"0.055"
22;"UE_U_D";"2000-01-01";;"0.021"
23;"UE_X_D";"2000-01-01";;"0.000"
24;"IMP_X_D";"2000-01-01";;"0.000"
