"importId";"name";"selectedByMgtOnly";"exportCode";"unitSelect";"leaveReasonTypeSelect";"isToBeResetYearly";"allowNegativeValue";"isDaysAddedProrated";"defaultDayNumberGain";"recoveryLeaveReason_importId";"allowInjection";"isAutoIncrement"
1;"Absence à justifier";"false";"AB";1;2;"false";"false";"false";"0";"";"false";"false"
2;"Accident du travail";"true";"AT";1;2;"false";"false";"false";"0";"";"false";"false"
3;"Congé maternité";"true";"MATER";1;2;"false";"false";"false";"0";"";"false";"false"
4;Congé payé légal et ancienneté;"false";"CPA";1;1;"false";"false";"false";"0";"";"false";"false"
5;Congé payé exceptionnel;"true";"CPE";1;2;"false";"false";"false";"0";"";"false";"false"
6;"Jours fériés";"true";"JF";1;2;"false";"false";"false";"0";"";"false";"false"
7;"Maladie";"false";"MALA";1;2;"false";"false";"false";"0";"";"false";"false"
8;"Jour RTT";"false";"RTTs";2;1;"true";"false";"true";"12";"";"true";"true"
9;"Enfant malade";"false";"EM";1;3;"true";"false";"false";"5";"";"false";"true"
10;"Congé sans solde";"false";"CSS";1;2;"false";"false";"false";"0";"";"false";"false"
11;"Congé parental";"true";"PAREN";1;2;"false";"false";"false";"0";;"false";"false"
12;Congé N-1;"false";"CN";1;1;"true";"false";"false";0;;"false";"true"
13;"Congé N et ancienneté";"false";CNA;1;1;"true";"true";"true";"2.5";12;"false";"true"
