"importId";"year";"date";"eventsPlanning.importId";"description"
1;-1;"TODAY[-1y=1M=1d]";1;"Jour de l'An"
2;-1;"TODAY[-1y=4M=21d]";1;"L. de Pâques"
3;-1;"TODAY[-1y=5M=1d]";1;"Fête du travail"
4;-1;"TODAY[-1y=5M=8d]";1;"Victoire 1945"
5;-1;"TODAY[-1y=5M=21d]";1;"Ascension"
6;-1;"TODAY[-1y=6M=1d]";1;"Lundi de Pentecôte"
7;-1;"TODAY[-1y=7M=14d]";1;"Fête nationale"
8;-1;"TODAY[-1y=8M=15d]";1;"Assomption"
9;-1;"TODAY[-1y=11M=1d]";1;"Toussaint"
10;-1;"TODAY[-1y=11M=11d]";1;"Armistice 1918"
11;-1;"TODAY[-1y=12M=25d]";1;"Noël"
12;0;"TODAY[=1M=1d]";1;"Jour de l'An"
13;0;"TODAY[=4M=21d]";1;"L. de Pâques"
14;0;"TODAY[=5M=1d]";1;"Fête du travail"
15;0;"TODAY[=5M=8d]";1;"Victoire 1945"
16;0;"TODAY[=5M=21d]";1;"Ascension"
17;0;"TODAY[=6M=1d]";1;"Lundi de Pentecôte"
18;0;"TODAY[=7M=14d]";1;"Fête nationale"
19;0;"TODAY[=8M=15d]";1;"Assomption"
20;0;"TODAY[=11M=1d]";1;"Toussaint"
21;0;"TODAY[=11M=11d]";1;"Armistice 1918"
22;0;"TODAY[=12M=25d]";1;"Noël"
23;1;"TODAY[+1y=1M=1d]";1;"Jour de l'An"
24;1;"TODAY[+1y=4M=21d]";1;"L. de Pâques"
25;1;"TODAY[+1y=5M=1d]";1;"Fête du travail"
26;1;"TODAY[+1y=5M=8d]";1;"Victoire 1945"
27;1;"TODAY[+1y=5M=21d]";1;"Ascension"
28;1;"TODAY[+1y=6M=1d]";1;"Lundi de Pentecôte"
29;1;"TODAY[+1y=7M=14d]";1;"Fête nationale"
30;1;"TODAY[+1y=8M=15d]";1;"Assomption"
31;1;"TODAY[+1y=11M=1d]";1;"Toussaint"
32;1;"TODAY[+1y=11M=11d]";1;"Armistice 1918"
33;1;"TODAY[+1y=12M=25d]";1;"Noël"
34;2;"TODAY[+2y=1M=1d]";1;"Jour de l'An"
35;2;"TODAY[+2y=4M=21d]";1;"L. de Pâques"
36;2;"TODAY[+2y=5M=1d]";1;"Fête du travail"
37;2;"TODAY[+2y=5M=8d]";1;"Victoire 1945"
38;2;"TODAY[+2y=5M=21d]";1;"Ascension"
39;2;"TODAY[+2y=6M=1d]";1;"Lundi de Pentecôte"
40;2;"TODAY[+2y=7M=14d]";1;"Fête nationale"
41;2;"TODAY[+2y=8M=15d]";1;"Assomption"
42;2;"TODAY[+2y=11M=1d]";1;"Toussaint"
43;2;"TODAY[+2y=11M=11d]";1;"Armistice 1918"
44;2;"TODAY[+2y=12M=25d]";1;"Noël"
