"importId";"technicalName";"name"
"1";"stock_menu_product";"Product"
"2";"stock_menu_stock_correction";"Stock correction"
"3";"stock_menu_internal_move";"Internal move"
"4";"stock_menu_customer_delivery";"Customer delivery"
"5";"stock_menu_supplier_arrival";"Supplier arrival"
"6";"stock_menu_inventory";"Inventory"
"7";"manufacturing_menu_manufacturing_order";"Manufacturing order"
"8";"manufacturing_menu_operation_order";"Operation order"
"9";"manufacturing_menu_operation_order_planning";"Planned operations"
"10";"crm_menu_lead";"Leads"
"11";"crm_menu_prospect";"Prospects"
"12";"crm_menu_opportunity";"Opportunities"
"13";"crm_menu_client";"Clients"
"14";"crm_menu_contact";"Contacts"
"15";"crm_menu_catalog";"Catalogs"
"16";"crm_menu_event";"Events"
"17";"helpdesk_menu_createTicket";"Create ticket"
"18";"helpdesk_menu_myTickets";"My tickets"
"19";"helpdesk_menu_myTeamTickets";"My team tickets"
"20";"hr_menu_expenses";"Expenses"
"21";"hr_menu_expenseLines";"Expense lines"
