"name";"object";"canRead";"canWrite";"canCreate";"canRemove";"canExport";"readCondition";"readParams";"writeCondition";"writeParams";"createCondition";"createParams";"removeCondition";"removeParams"
"perms.user-info";"com.axelor.apps.base.db.UserInfo";"true";"false";"false";"false";"true";;;;;;;;
"perm.base.all";"com.axelor.apps.base.db.*";"true";"true";"true";"true";"true";;;;;;;;
"perm.base.rw";"com.axelor.apps.base.db.*";"true";"true";"false";"false";"true";;;;;;;;
"perm.account.all";"com.axelor.apps.account.db.*";"true";"true";"true";"true";"true";;;;;;;;
"perm.account.rw";"com.axelor.apps.account.db.*";"true";"true";"false";"false";"true";;;;;;;;
"perm.organisation.all";"com.axelor.apps.organisation.db.*";"true";"true";"true";"true";"true";;;;;;;;
"perm.organisation.rwc";"com.axelor.apps.organisation.db.*";"true";"true";"true";"false";"true";;;;;;;;
"perm.production.all";"com.axelor.apps.production.db.*";"true";"true";"true";"true";"true";;;;;;;;
"perm.production.rwc";"com.axelor.apps.production.db.*";"true";"true";"true";"false";"true";;;;;;;;
"perm.crm.all";"com.axelor.apps.crm.db.*";"true";"true";"true";"true";"true";;;;;;;;
"perm.supplychain.all";"com.axelor.apps.supplychain.db.*";"true";"true";"true";"true";"true";;;;;;;;
"perm.supplychain.rwc";"com.axelor.apps.supplychain.db.*";"true";"true";"true";"false";"true";;;;;;;;
"perm.supplyChain.saleOrder.r";"com.axelor.apps.sale.db.SaleOrder";"true";"false";"false";"false";"false";;;;;;;;
"perm.supplyChain.saleOrderLine.r";"com.axelor.apps.sale.db.SaleOrderLine";"true";"false";"false";"false";"false";;;;;;;;
"perm.supplyChain.saleOrderLineTax.r";"com.axelor.apps.sale.db.SaleOrderLineTax";"true";"false";"false";"false";"false";;;;;;;;
"perm.crm.event.r";"com.axelor.apps.crm.db.Event";"true";"true";"true";"false";"false";;;;;;;;
"perm.crm.eventCategory.r";"com.axelor.apps.crm.db.EventCategory";"true";"false";"false";"false";"false";;;;;;;;
"perm.account.invoice.r";"com.axelor.apps.account.db.Invoice";"true";"false";"false";"false";"false";;;;;;;;
"perm.account.invoiceLine.r";"com.axelor.apps.account.db.InvoiceLine";"true";"false";"false";"false";"false";;;;;;;;
"perm.account.invoiceLineTax.r";"com.axelor.apps.account.db.InvoiceLineTax";"true";"false";"false";"false";"false";;;;;;;;
"perm.base.partner.r";"com.axelor.apps.base.db.Partner";"true";"false";"false";"false";"false";;;;;;;;
"perm.supplyChain.purchaseOrder.r";"com.axelor.apps.purchase.db.PurchaseOrder";"true";"false";"false";"false";"false";;;;;;;;
"perm.supplyChain.purchaseOrderLine.r";"com.axelor.apps.purchase.db.PurchaseOrderLine";"true";"false";"false";"false";"false";;;;;;;;
"perm.supplyChain.purchaseOrderLineTax.r";"com.axelor.apps.purchase.db.PurchaseOrderLineTax";"true";"false";"false";"false";"false";;;;;;;;
"perm.suppliermanagement.PurchaseOrderSupplierLine.rw";"com.axelor.apps.suppliermanagement.db.PurchaseOrderSupplierLine";"true";"true";"false";"false";"false";;;;;;;;
"perm.supplyChain.stockMove.r";"com.axelor.apps.supplychain.db.StockMove";"true";"false";"false";"false";"false";;;;;;;;
"perm.supplyChain.stockMoveLine.r";"com.axelor.apps.supplychain.db.StockMoveLine";"true";"true";"false";"false";"false";;;;;;;;
