"name";"date";"publicHolidays.importId";"description"
"Jour de l'An 2013";"2013-01-01";1;"Jour de l'An"
"L. de Pâques 2013";"2013-04-01";1;"L. de Pâques"
"Fête du travail 2013";"2013-05-01";1;"Fête du travail"
"Victoire 1945 2013";"2013-05-08";1;"Victoire 1945"
"Ascension 2013";"2013-05-09";1;"Ascension"
"Lundi de Pentecôte 2013";"2013-05-20";1;"Lundi de Pentecôte"
"Fête nationale 2013";"2013-07-14";1;"Fête nationale"
"Assomption 2013";"2013-08-15";1;"Assomption"
"Toussaint 2013";"2013-11-01";1;"Toussaint"
"Armistice 1918";"2013-11-11";1;"Armistice 1918"
"Noël 2013";"2013-12-25";1;"Noël"
"Jour de l'An 2014";"2014-01-01";1;"Jour de l'An"
"L. de Pâques 2014";"2014-04-21";1;"L. de Pâques"
"Fête du travail 2014";"2014-05-01";1;"Fête du travail"
"Victoire 1945 2014";"2014-05-08";1;"Victoire 1945"
"Ascension 2014";"2014-05-29";1;"Ascension"
"Lundi de Pentecôte 2014";"2014-06-09";1;"Lundi de Pentecôte"
"Fête nationale 2014";"2014-07-14";1;"Fête nationale"
"Assomption 2014";"2014-08-15";1;"Assomption"
"Toussaint 2014";"2014-11-01";1;"Toussaint"
"Armistice 1918 2014";"2014-11-11";1;"Armistice 1918"
"Noël 2014";"2014-12-25";1;"Noël"
