"importId";"name";"labelToPrinting"
1;"Unit";"Unit"
2;"Piece";"Piece"
3;"Box of 2 Pces";"Box of 2 Pces"
4;"Box of 6 Pces";"Box of 6 Pces"
5;"Box of 12 Pces";"Box of 12 Pces"
6;"Box of 24 Pces";"Box of 24 Pces"
7;"Box of 50 Pces";"Box of 50 Pces"
8;"Box of 100 Pces";"Box of 100 Pces"
9;"Box of 500 Pces";"Box of 500 Pces"
10;"Box of 1000 Pces";"Box of 1000 Pces"
100;"Minute";"Minute"
101;"Hour";"Hour"
102;"Half-Day";"Half-Day"
103;"Day";"Day"
104;"Week";"Week"
105;"Month";"Month"
106;"Year";"Year"
200;"Percent";"Percent"
