"module";"object";"view";"field";"help"
"axelor-base";"Partner";"partner-customer-form";"source";"Enables to specify the source of  initial contact with the company (advertising, cold-call,...). The source list can be customized in the menu Application Config/Referential/Configuration/Partner sources."
"axelor-base";"Partner";"partner-customer-form";"department";"Enables to specify the name of the company's department or division, if it belongs to a parent company. "
"axelor-base";"Partner";"partner-customer-form";"paymentDelay";"Company's average payment period after issue of invoice. "
"axelor-base";"Partner";"partner-customer-form";"partnerSeq";"Partner's reference or identification number. It is automatically generated when saving, the sequence is configurable in the application's general settings. "
"axelor-base";"Partner";"partner-customer-form";"companySet";"Attaches one or several companies to a partner. Once attached, the partner's accounting items are created for the selected company. "
"axelor-base";"Partner";"partner-customer-form";"invoiceSendingFormatSelect";"Specifies the dispatch mode for partner's invoices: email, hard copy, or both."
"axelor-base";"Partner";"partner-customer-form";"inPaymentMode";"In payment mode (payment realized by the partner)."
"axelor-base";"Partner";"partner-customer-form";"outPaymentMode";"Out payment mode (Payment made by the company to the partner)."
"axelor-base";"Partner";"partner-customer-form";"saleOrderInformation";"Free-text box for additional information about the Customer partner's orders. "
"axelor-base";"Partner";"partner-customer-form";"purchaseOrderInformation";"Free-text box for additional information regarding orders placed with the Supplier partner. "
"axelor-base";"Product";"product-form";"isActivity";"Only for ""Service"" products, check this box if this product is to be listed as an accessible activity in the HR module timesheets. Il will then be possible to invoice it for business projects. "
"axelor-base";"Product";"product-form";"saleSupplySelect";"Default product procurement method in case of a sale, not to be confused with replenishment (when the minimum stock quantity is reached). The product can be supplied through purchase, production, or, in most cases, deduction from the stock. "
"axelor-base";"Product";"product-form";"unit";"Enables to select the product's default management unit (in most cases, the inventory unit). "
"axelor-base";"Product";"product-form";"salesUnit";"Allows you to select a sales unit for this product, for example if it is sold in a different unit than the storage unit (for example a product stored in tons and sold per kilo)."
"axelor-base";"Product";"product-form";"purchasesUnit";"Allows you to select a purchase unit for this product, for example when a product is purchased in a different unit than the one used in the stock."
"axelor-base";"Product";"product-form";"costPrice";"Pre-tax cost price of the product, can be generated manually or automatically, or deducted from sales or production data. "
