"importId";"importFieldName";"metaModelName";"subImportField";"importType";"forSelectUse";"fileTab.importId";"isMatchWithFile";"columnTitle";"relationship";"targetType";"sequence";"fullName"
1;"importId";"PartnerCategory";;0;0;1;"true";"importId";;"String";0;"0 - importId - importId"
2;"code";"PartnerCategory";;0;0;1;"true";"code";;"String";1;"1 - code - code"
3;"name";"PartnerCategory";;0;0;1;"true";"name";;"String";2;"2 - name - name"
4;"name";"Country";;0;0;2;"true";"name";;"String";0;"0 - name - name"
5;"importId";"Address";;0;0;3;"true";"importId";;"String";0;"0 - importId - importId"
6;"addressL2";"Address";;0;0;3;"true";"addressL2";;"String";1;"1 - addressL2 - addressL2"
7;"addressL3";"Address";;0;0;3;"true";"addressL3";;"String";2;"2 - addressL3 - addressL3"
8;"addressL4";"Address";;0;0;3;"true";"addressL4";;"String";3;"3 - addressL4 - addressL4"
9;"addressL5";"Address";;0;0;3;"true";"addressL5";;"String";4;"4 - addressL5 - addressL5"
10;"addressL6";"Address";;0;0;3;"true";"addressL6";;"String";5;"5 - addressL6 - addressL6"
11;"addressL7Country";"Address";"name";1;0;3;"true";"addressL7Country.name";"ManyToOne";"String";6;"6 - addressL7Country - addressL7Country.name"
12;"address";"EmailAddress";;0;0;4;"true";"address";;"String";0;"0 - address - address"
13;"name";"EmailAddress";;0;0;4;"true";"name";;"String";1;"1 - name - name"
14;"importId";"Partner";;0;0;5;"true";"importId";;"String";0;"0 - importId - importId"
15;"partnerTypeSelect";"Partner";;0;1;5;"true";"partnerTypeSelect";;"Integer";1;"1 - partnerTypeSelect - partnerTypeSelect"
16;"name";"Partner";;0;0;5;"true";"name";;"String";2;"2 - name - name"
17;"firstName";"Partner";;0;0;5;"true";"firstName";;"String";3;"3 - firstName - firstName"
18;"registrationCode";"Partner";;0;0;5;"true";"registrationCode";;"String";4;"4 - registrationCode - registrationCode"
19;"partnerCategory";"Partner";"code";1;0;5;"true";"partnerCategory";"ManyToOne";"String";5;"5 - partnerCategory - partnerCategory"
20;"industrySector";"Partner";"importId";1;0;5;"true";"industrySector";"ManyToOne";"String";6;"6 - industrySector - industrySector"
21;"fixedPhone";"Partner";;0;0;5;"true";"fixedPhone";;"String";7;"7 - fixedPhone - fixedPhone"
22;"mobilePhone";"Partner";;0;0;5;"true";"mobilePhone";;"String";8;"8 - mobilePhone - mobilePhone"
23;"mainAddress";"Partner";"importId";1;0;5;"true";"mainAddress";"ManyToOne";"String";9;"9 - mainAddress - mainAddress"
24;"emailAddress";"Partner";"address";1;0;5;"true";"emailAddress";"OneToOne";"String";10;"10 - emailAddress - emailAddress"
25;"isContact";"Partner";;0;0;5;"true";"isContact";;"Boolean";11;"11 - isContact - isContact"
