"importId";"code";"name";"sequenceTypeSelect";"sequenceLettersTypeSelect";"nextNum";"padding";"prefixe";"suffixe";"toBeAdded";"yearlyResetOk"
100;"accountClearance";"Overpayment clearance";"NUMBERS";"UPPERCASE";1;4;"ACCCLR_%YY_";;1;1
101;"chequeReject";"Cheque reject";"NUMBERS";"UPPERCASE";1;4;"CHQREJ_%YY_";;1;1
102;"invoice";"Customer Invoice";"NUMBERS";"UPPERCASE";1;4;"INV_%YY";;1;1
103;"invoice";"Customer Refund";"NUMBERS";"UPPERCASE";1;4;"REF_%YY";;1;1
104;"invoice";"Supplier Invoice";"NUMBERS";"UPPERCASE";1;4;"SINV_%YY";;1;1
105;"invoice";"Supplier Refund";"NUMBERS";"UPPERCASE";1;4;"SREF_%YY";;1;1
106;"debit";"Direct debit (invoice and installments)";"NUMBERS";"UPPERCASE";1;4;"DDINV_%YY_";;1;1
109;"irrecoverable";"Transfer in irrecoverables";"NUMBERS";"UPPERCASE";1;4;"IRRECOV_%YY_";;1;1
110;"move";"Sales move line";"NUMBERS";"UPPERCASE";1;4;"MVSAL_%YY_";;1;1
111;"move";"Refund move line";"NUMBERS";"UPPERCASE";1;4;"MVREF_%YY_";;1;1
112;"move";"Purchase move line";"NUMBERS";"UPPERCASE";1;4;"MVPUR_%YY_";;1;1
113;"move";"Purchase refund move line";"NUMBERS";"UPPERCASE";1;4;"MVSREF_%YY_";;1;1
114;"move";"Virtual move line";"NUMBERS";"UPPERCASE";1;4;"MVVIRT_%YY_";;1;1
115;"move";"Move line for payments received in Cash";"NUMBERS";"UPPERCASE";1;4;"MVCSH_%YY_";;1;1
116;"move";"Move line for payments received in Cheque";"NUMBERS";"UPPERCASE";1;4;"MVCHQ_%YY_";;1;1
117;"move";"Move line for payments received in Credit Card";"NUMBERS";"UPPERCASE";1;4;"MVCC_%YY_";;1;1
118;"move";"Move line for payments received in Internet";"NUMBERS";"UPPERCASE";1;4;"MVWEB_%YY_";;1;1
119;"move";"Move line for payments received in IPO";"NUMBERS";"UPPERCASE";1;4;"MVIPO_%YY_";;1;1
120;"move";"Move line for payments received in IPOC";"NUMBERS";"UPPERCASE";1;4;"MVIPOC_%YY_";;1;1
121;"move";"Move line for payments received in Wire Transfer";"NUMBERS";"UPPERCASE";1;4;"MVWT_%YY_";;1;1
