"importId";"contactPartner.importId";"hourlyRate";"timeLoggingPreferenceSelect";"weeklyWorkHours";"dailyWorkHours";"manager.importId";"department.importId";"timesheetReminder";"external";"weeklyPlanning.importId";"lunchVoucherFormatSelect";"hireDate";"leavingDate";"stepByStepSelect";"publicHolidayEventsPlanning.importId";"hrManager";"seniorityDate";"birthDate";"bonusCoef";"profitSharingBeneficiary"
1;90001;72;"days";35;7;;;;;1;1;"TODAY[+5d]";;5;1;;"TODAY[+5d]";"TODAY[-30y]";;true
2;90002;46;"hours";35;7;;;;;1;1;"TODAY[+20d]";;5;1;;"TODAY[+20d]";"TODAY[-27y]";;false
3;90003;34;"hours";35;7;;;;;1;1;"TODAY[+35d]";;5;1;;"TODAY[+35d]";"TODAY[-33y]";;true
4;90004;22;"hours";35;7;;;;;1;1;"TODAY";;5;1;;"TODAY";"TODAY[-25y]";1;false
5;90005;24;"hours";35;7;;;;;1;1;"TODAY[-15d]";"TODAY[-6d]";5;1;;"TODAY[-15d]";"TODAY[-27y]";;false
6;90006;20;"hours";35;7;;;;;1;1;"TODAY[-5d]";"TODAY[-2d]";5;1;;"TODAY[-5d]";"TODAY[-27y]";;false
7;90007;36;"hours";35;7;;;;;1;1;"TODAY[-20d]";;5;1;;"TODAY[-20d]";"TODAY[-18y]";;false
8;90008;34;"hours";35;7;;;;;1;1;"TODAY[-40d]";;5;1;;"TODAY[-40d]";"TODAY[-40y]";3;true
9;90009;74;"hours";35;7;;;;;1;1;"TODAY";;5;1;;"TODAY";"TODAY[-30y]";;false
10;90010;26;"hours";35;7;;;;;1;2;"TODAY";;5;1;;"TODAY";"TODAY[-35y]";;false
11;90011;36;"hours";35;7;;;;;2;2;"TODAY";;5;1;;"TODAY";"TODAY[-28y]";;false
12;90012;22;"hours";35;7;;;;;2;2;"TODAY";;5;1;;"TODAY";"TODAY[-20y]";;false
13;90013;24;"hours";35;7;;;;;2;2;"TODAY[+10d]";;5;1;;"TODAY[+10d]";"TODAY[-22y]";1.3;true
14;90014;22;"hours";35;7;;;;;2;2;"TODAY[+50d]";;5;1;;"TODAY[+50d]";"TODAY[-27y]";;false
15;90015;34;"hours";35;7;;;;;2;2;"TODAY";;5;1;;"TODAY";"TODAY[-23y]";;true
16;90016;34;"days";35;7;;;;;2;2;"TODAY[-35d]";"TODAY[-10d]";5;1;;"TODAY[-35d]";"TODAY[-31y]";;true
17;90017;70;"days";35;7;;;;;2;2;"TODAY";;5;1;;"TODAY";"TODAY[-35y]";1.27;false
18;90018;48;"days";35;7;;;;;2;2;"TODAY[-6d]";;5;1;;"TODAY[-6d]";"TODAY[-28y]";2;false
19;90019;80;"days";35;7;;;;;1;2;"TODAY";;5;1;"true";"TODAY";"TODAY[-45y]";2;true
20;90022;80;"days";35;7;;;;;1;2;"TODAY";;5;1;;"TODAY";"TODAY[-40y]";1.7;true
