"importId";"year";"date";"eventsPlanning.importId";"description"
1;-1;"TODAY[-1y=1M=1d]";1;"New Year's Day"
2;-1;"TODAY[-1y=4M=19d]";1;"Good Friday"
3;-1;"TODAY[-1y=4M=22d]";1;"Easter Monday"
4;-1;"TODAY[-1y=5M=6d]";1;"Early May bank holiday"
5;-1;"TODAY[-1y=5M=27d]";1;"Spring bank holiday"
6;-1;"TODAY[-1y=8M=5d]";1;"Summer bank holiday"
7;-1;"TODAY[-1y=12M=25d]";1;"Christmas Day"
8;-1;"TODAY[-1y=12M=26d]";1;"Boxing Day"
9;0;"TODAY[=1M=1d]";1;"New Year's Day"
10;0;"TODAY[=4M=19d]";1;"Good Friday"
11;0;"TODAY[=4M=22d]";1;"Easter Monday"
12;0;"TODAY[=5M=6d]";1;"Early May bank holiday"
13;0;"TODAY[=5M=27d]";1;"Spring bank holiday"
14;0;"TODAY[=8M=5d]";1;"Summer bank holiday"
15;0;"TODAY[=12M=25d]";1;"Christmas Day"
16;0;"TODAY[=12M=26d]";1;"Boxing Day"
17;1;"TODAY[+1y=1M=1d]";1;"New Year's Day"
18;1;"TODAY[+1y=4M=19d]";1;"Good Friday"
19;1;"TODAY[+1y=4M=22d]";1;"Easter Monday"
20;1;"TODAY[+1y=5M=6d]";1;"Early May bank holiday"
21;1;"TODAY[+1y=5M=27d]";1;"Spring bank holiday"
22;1;"TODAY[+1y=8M=5d]";1;"Summer bank holiday"
23;1;"TODAY[+1y=12M=25d]";1;"Christmas Day"
24;1;"TODAY[+1y=12M=26d]";1;"Boxing Day"
25;2;"TODAY[+2y=1M=1d]";1;"New Year's Day"
26;2;"TODAY[+2y=4M=19d]";1;"Good Friday"
27;2;"TODAY[+2y=5M=6d]";1;"Early May bank holiday"
28;2;"TODAY[+2y=4M=22d]";1;"Easter Monday"
29;2;"TODAY[+2y=5M=27d]";1;"Spring bank holiday"
30;2;"TODAY[+2y=8M=5d]";1;"Summer bank holiday"
31;2;"TODAY[+2y=12M=25d]";1;"Christmas Day"
32;2;"TODAY[+2y=12M=26d]";1;"Boxing Day"
