"importId";"name";"templateLink";"format";"generatedFilePath"
1;"Message";"MessagePDF.rptdesign";"pdf";"/home/axelor/attachments/"
2;"BusinessSituation";"BusinessSituation.rptdesign";"pdf";"/home/axelor/attachments/"
3;"Candidate";"Candidate.rptdesign";"pdf";"/home/axelor/attachments/"
4;"CompanyPhoneBook";"CompanyPhoneBook.rptdesign";"pdf";"/home/axelor/attachments/"
5;"Employee";"Employee.rptdesign";"pdf";"/home/axelor/attachments/"
6;"Expense";"Expense.rptdesign";"pdf";"/home/axelor/attachments/"
7;"Inventory";"Inventory.rptdesign";"pdf";"/home/axelor/attachments/"
8;"Invoice";"Invoice.rptdesign";"pdf";"/home/axelor/attachments/"
9;"Lead";"Lead.rptdesign";"pdf";"/home/axelor/attachments/"
10;"ManufOrder";"ManufOrder.rptdesign";"pdf";"/home/axelor/attachments/"
11;"Payment collection journal";"MoveLineReportType1.rptdesign";"pdf";"/home/axelor/attachments/"
12;"General ledger";"MoveLineReportType2.rptdesign";"pdf";"/home/axelor/attachments/"
13;"Balance";"MoveLineReportType3.rptdesign";"pdf";"/home/axelor/attachments/"
14;"Aged Balance";"MoveLineReportType4.rptdesign";"pdf";"/home/axelor/attachments/"
15;"Cheque deposit slip";"MoveLineReportType5.rptdesign";"pdf";"/home/axelor/attachments/"
16;"Cash payments summary";"MoveLineReportType10.rptdesign";"pdf";"/home/axelor/attachments/"
17;"Journal";"MoveLineReportType11.rptdesign";"pdf";"/home/axelor/attachments/"
18;"VAT Statement";"MoveLineReportType12.rptdesign";"pdf";"/home/axelor/attachments/"
19;"Payment differences";"MoveLineReportType13.rptdesign";"pdf";"/home/axelor/attachments/"
20;"OperationOrder";"OperationOrder.rptdesign";"pdf";"/home/axelor/attachments/"
21;"Partner";"Partner.rptdesign";"pdf";"/home/axelor/attachments/"
22;"PaymentVoucher";"PaymentVoucher.rptdesign";"pdf";"/home/axelor/attachments/"
23;"PhoneBook";"PhoneBook.rptdesign";"pdf";"/home/axelor/attachments/"
24;"ProductCatalog_PGQL";"ProductCatalog_PGQL.rptdesign";"pdf";"/home/axelor/attachments/"
25;"ProductSheet";"ProductSheet.rptdesign";"pdf";"/home/axelor/attachments/"
26;"Project";"Project.rptdesign";"pdf";"/home/axelor/attachments/"
27;"PurchaseOrder";"PurchaseOrder.rptdesign";"pdf";"/home/axelor/attachments/"
28;"SaleOrder";"SaleOrder.rptdesign";"pdf";"/home/axelor/attachments/"
29;"StockLocation";"StockLocation.rptdesign";"pdf";"/home/axelor/attachments/"
30;"StockMove";"StockMove.rptdesign";"pdf";"/home/axelor/attachments/"
31;"Task";"Task.rptdesign";"pdf";"/home/axelor/attachments/"
32;"Timesheet";"Timesheet.rptdesign";"pdf";"/home/axelor/attachments/"
