"importId";"addressL2";"addressL3";"addressL4";"addressL5";"addressL6";"addressL7Country.alpha3Code"
1;;;"90 PLACE DE L'HOTEL DE VILLE";;"01000 BOURG-EN-BRESSE";"FRA"
20;;;"97 AVENUE DU GENERAL LECLERC";;"02000 LAON";"FRA"
30;;;"73 AVENUE PIERRE ET MARIE CURIE";;"03000 MOULINS";"FRA"
40;;;"44 PLACE GENERAL DE GAULLE";;"04000 DIGNE-LES-BAINS";"FRA"
50;;;"48 RUE DU COLONEL ROUX";;"05000 GAP";"FRA"
60;;;"71 RUE DE L'HOTEL DE VILLE";;"06000 NICE";"FRA"
61;;;"70 BD VICTOR HUGO";;"06000 NICE";"FRA"
62;;;"70 RUE PASTORELLI";;"06000 NICE";"FRA"
63;;;"16 RUE DU MARECHAL JOFFRES";;"06000 NICE";"FRA"
64;;;"14 AVENUE THIERS";;"06000 NICE";"FRA"
65;;;"32 RUE DE PARIS";;"06000 NICE";"FRA"
66;;;"63 BD CARABACEL";;"06000 NICE";"FRA"
67;;;"6 BD GAMBETTA";;"06000 NICE";"FRA"
70;;;"44 PLACE DE L HOTEL DE VILLE";;"07000 PRIVAS";"FRA"
80;;;"36 PLACE DU THEATRE";;"08000 CHARLEVILLE-MEZIERES";"FRA"
90;;;"AVENUE DU GENERAL LECLERC";;"09000 FOIX";"FRA"
100;;;"92 PLACE ALEXANDRE ISRAEL";;"10000 TROYES";"FRA"
110;;;"47 RUE DE VERDUN";;"11000 CARCASSONNE";"FRA"
120;;;"17 PLACE EUGENE RAYNALDY";;"12000 RODEZ";"FRA"
140;;;"22 ESPLANADE JEAN MARIE LOUVEL";;"14000 CAEN";"FRA"
150;;;"47 PLACE DE L HOTEL DE VILLE";;"15000 AURILLAC";"FRA"
160;;;"97 PLACE DE L HOTEL DE VILLE";;"16000 ANGOULEME";"FRA"
170;;;"20 PLACE DE L HOTEL DE VILLE";;"17000 LA ROCHELLE";"FRA"
180;;;"47 11 RUE JACQUES RIMBAULT";;"18000 BOURGES";"FRA"
