"importId";"contactPartner.importId";"hourlyRate";"timeLoggingPreferenceSelect";"weeklyWorkHours";"dailyWorkHours";"manager.importId";"department.importId";"timesheetReminder";"external";"weeklyPlanning.importId";"lunchVoucherFormatSelect"
1;90001;;"days";35;7;;;;;1;1
2;90002;;"hours";35;7;;;;;1;1
3;90003;;"hours";35;7;;;;;1;1
4;90004;;"hours";35;7;;;;;1;1
5;90005;;"hours";35;7;;;;;1;1
6;90006;;"hours";35;7;;;;;1;1
7;90007;;"hours";35;7;;;;;1;1
8;90008;;"hours";35;7;;;;;1;1
9;90009;;"hours";35;7;;;;;1;1
10;90010;;"hours";35;7;;;;;1;2
11;90011;;"hours";35;7;;;;;2;2
12;90012;;"hours";35;7;;;;;2;2
13;90013;;"hours";35;7;;;;;2;2
14;90014;;"hours";35;7;;;;;2;2
15;90015;;"hours";35;7;;;;;2;2
16;90016;;"days";35;7;;;;;2;2
17;90017;;"days";35;7;;;;;2;2
18;90018;;"days";35;7;;;;;2;2
