"importId";"reminderMethod.code";"reminderLevel.code";"standardDeadline";"minThreshold";"messageTemplate.name";"manualValidationOk";"reminderLevelLabel"
1;"REL_PART";"EM";0;;"EM01";;"Email"
2;"REL_PART";"LS";10;;"LS01";;"Simple letter"
3;"REL_PART";"LRAR1";10;50;"LRAR01";;"Lettre recommandée 1"
4;"REL_PART";"LRAR2";15;50;"LRAR02";;"Lettre recommandée 2"
5;"REL_PART";"MHSIMP";10;;"LSH01";"true";"Menace huissier simple"
6;"REL_PART";"MHAR";15;;"LRARH01";"true";"Menace huissier avec AR"
7;"REL_PART";"HUISS";10;;"LHUISS";"true";"Passage à l'huissier"
1;"REL_PRO";"EM";0;;"EM01";;"Email"
2;"REL_PRO";"LS";10;;"LS01";;"Simple letter"
3;"REL_PRO";"LRAR1";15;50;"LRAR01";;"Lettre recommandée 1"
4;"REL_PRO";"LRAR2";15;50;"LRAR02";;"Lettre recommandée 2"
5;"REL_PRO";"MHSIMP";15;;"LSH01";"true";"Menace huissier simple"
6;"REL_PRO";"MHAR";15;;"LRARH01";"true";"Menace huissier avec AR"
7;"REL_PRO";"HUISS";15;;"LHUISS";"true";"Passage à l'huissier"
