"inventory.importId";"product.importId";"currentQty";"realQty";"description";"productVariant_importId";"trackingNumber.importId"
1;111;"0.00";"30.00";;;
1;110;"0.00";"35.00";;;
1;120;"0.00";"40.00";;;
1;121;"0.00";"30.00";;;
1;130;"0.00";"15.00";;;
1;131;"0.00";"10.00";;;
1;200;"0.00";"10.00";;;
1;201;"0.00";"5.00";;;
1;210;"0.00";"8.00";;;
1;211;"0.00";"7.00";;;
1;220;"0.00";"30.00";;;
1;230;"0.00";"26.00";;;
1;231;"0.00";"19.00";;;
1;240;"0.00";"13.00";;;
1;241;"0.00";"9.00";;;
1;250;"0.00";"13.00";;;
1;300;"0.00";"50.00";;;
1;301;"0.00";"50.00";;;
1;302;"0.00";"60.00";;;
1;303;"0.00";"40.00";;;
1;304;"0.00";"29.00";;;
1;305;"0.00";"7.00";;;
1;306;"0.00";"10.00";;;
1;307;"0.00";"20.00";;;
