"code";"parent_code";"name";"accountType.technicalTypeSelect";"reconcileOk";"useForPartnerBalance";"isTaxAuthorizedOnMoveLine";"isTaxRequiredOnMoveLine";"isRegulatoryAccount";"isRetrievedOnPaymentSession";"hasInvoiceTerm";"statusSelect"
0;;"Your Company";"view";"false";"false";;;;"false";"false";1
"BAL";0;"Balance Sheet";"view";"false";"false";;;;"false";"false";1
"A000";"BAL";"Fixed assets";"view";"false";"false";;;;"false";"false";1
"A010";"A000";"Intangible assets";"view";"false";"false";;;;"false";"false";1
1000;"A000";"Software";"fixed_assets";"false";"false";;;;"false";"false";1
1100;"A000";"Software Depreciation";"fixed_assets";"false";"false";;;;"false";"false";1
2000;"A000";"Patents & Trademarks";"fixed_assets";"false";"false";;;;"false";"false";1
2100;"A000";"Patents & Trademarks Depreciation";"fixed_assets";"false";"false";;;;"false";"false";1
"A020";"A000";"Tangible assets";"view";"false";"false";;;;"false";"false";1
3000;"A020";"Fixtures and fittings";"fixed_assets";"false";"false";;;;"false";"false";1
3100;"A020";"Fixtures and fittings Depreciation";"fixed_assets";"false";"false";;;;"false";"false";1
4000;"A020";"Land and buildings";"fixed_assets";"false";"false";;;;"false";"false";1
4100;"A020";"Land and buildings Depreciation";"fixed_assets";"false";"false";;;;"false";"false";1
5000;"A020";"Motor vehicles";"fixed_assets";"false";"false";;;;"false";"false";1
5100;"A020";"Motor vehicles Depreciation";"fixed_assets";"false";"false";;;;"false";"false";1
6000;"A020";"Office equipment (inc computer equipment)";"fixed_assets";"false";"false";;;;"false";"false";1
6100;"A020";"Office equipment (inc computer equipment) Depreciation";"fixed_assets";"false";"false";;;;"false";"false";1
7000;"A020";"Plant and machinery";"fixed_assets";"false";"false";;;;"false";"false";1
7100;"A020";"Plant and machinery Depreciation";"fixed_assets";"false";"false";;;;"false";"false";1
"A030";"A000";"Investments";"view";"false";"false";;;;"false";"false";1
"B000";"BAL";"Current assets";"view";"false";"false";;;;"false";"false";1
"B010";"B000";"Stocks & WIP";"view";"false";"false";;;;"false";"false";1
100100;"B010";"Stock";"current_assets";"true";"false";;;;"false";"false";1
100200;"B010";"Work in Progress";"current_assets";"false";"false";;;;"false";"false";1
100300;"B010";"Finished Goods";"current_assets";"false";"false";;;;"false";"false";1
"B020";"B000";"Trade Debtors";"view";"false";"false";;;;"false";"false";1
110000;"B020";"Debtors Control Account";"receivable";"true";"true";;;;"true";"true";1
110100;"B020";"Sundry Debtors";"receivable";"true";"false";;;;"false";"false";1
110200;"B020";"Other Debtors";"current_assets";"false";"false";;;;"false";"false";1
"B030";"B000";"Investment current assets";"view";"false";"false";;;;"false";"false";1
"B040";"B000";"Cash at bank and in hand";"view";"false";"false";;;;"false";"false";1
120000;"B040";"Bank Accounts";"current_assets";"true";"false";;;;"false";"false";1
120001;120000;"Cash";"account.data_account_type_cash";"false";"false";;;;"false";"false";1
120002;120000;"Bank";"account.data_account_type_bank";"false";"false";;;;"false";"false";1
124000;"B040";"Company Credit Card";"current_assets";"true";"false";;;;"false";"false";1
"B050";"B000";"Prepayments and accrued income";"view";"false";"false";;;;"false";"false";1
110300;"B050";"Prepayments";"current_assets";"false";"false";;;;"false";"false";1
"C000";"BAL";"Current Liabilities";"view";"false";"false";;;;"false";"false";1
"C010";"C000";"Creditors due within one year";"view";"false";"false";;;;"false";"false";1
210000;"C010";"Creditors Control Account";"payable";"true";"true";;;;"true";"true";1
210100;"C010";"Sundry Creditors";"current_liabilities";"false";"false";;;;"false";"false";1
210200;"C010";"Other Creditors";"current_liabilities";"false";"false";;;;"false";"false";1
220000;"C010";"Sales Tax Control Account";"output_tax";"false";"false";;;;"false";"false";1
220100;"C010";"Purchase Tax Control Account";"input_tax";"false";"false";;;;"false";"false";1
220200;"C010";"HMRC - VAT Account";"payable";"true";"false";;;;"false";"false";1
220400;"C010";"Manual Adjustments ﾖ VAT";"current_liabilities";"false";"false";;;;"false";"false";1
221000;"C010";"P.A.Y.E. & NI";"payable";"true";"false";;;;"false";"false";1
222000;"C010";"Net Wages";"payable";"true";"false";;;;"false";"false";1
223000;"C010";"Pension Fund";"payable";"true";"false";;;;"false";"false";1
"C020";"C000";"Provisions for liabilities and charges";"view";"false";"false";;;;"false";"false";1
215000;"C020";"Bad debt provision";"current_liabilities";"false";"false";;;;"false";"false";1
"C030";"C000";"Accruals and deferred income";"view";"false";"false";;;;"false";"false";1
210900;"C030";"Accruals";"current_liabilities";"false";"false";;;;"false";"false";1
232000;"C030";"Corporation Tax";"payable";"true";"false";;;;"false";"false";1
"D000";"BAL";"Non Current Liabilities";"view";"false";"false";;;;"false";"false";1
"D010";"D000";"Creditors due after one year";"view";"false";"false";;;;"false";"false";1
230000;"D010";"Loans";"current_liabilities";"false";"false";;;;"false";"false";1
231000;"D010";"Hire Purchase";"current_liabilities";"false";"false";;;;"false";"false";1
233000;"D010";"Mortgages";"current_liabilities";"false";"false";;;;"false";"false";1
"E000";"BAL";"Capital & Reserves";"view";"false";"false";;;;"false";"false";1
300000;"E000";"Called up share capital";"equity";"false";"false";;;;"false";"false";1
301000;"E000";"Share premium account";"equity";"false";"false";;;;"false";"false";1
302000;"E000";"Revaluation reserve";"equity";"false";"false";;;;"false";"false";1
303000;"E000";"Other reserves";"equity";"false";"false";;;;"false";"false";1
320000;"E000";"Profit and loss account";"profit_and_loss";"false";"false";;;;"false";"false";1
"PNL";0;"Profit and Loss";"view";"false";"false";;;;"false";"false";1
"F000";"PNL";"Turnover";"view";"false";"false";;;;"false";"false";1
400000;"F000";"Sales category 1";"income";"false";"false";;;;"false";"false";1
400100;"F000";"Sales category 2";"income";"false";"false";;;;"false";"false";1
400200;"F000";"Sales category 3";"income";"false";"false";;;;"false";"false";1
400300;"F000";"Sales category 4";"income";"false";"false";;;;"false";"false";1
"G000";"PNL";"Cost of sale";"view";"false";"false";;;;"false";"false";1
500000;"G000";"Cost of sale 1";"charge";"false";"false";;;;"false";"false";1
500100;"G000";"Cost of sale 2";"charge";"false";"false";;;;"false";"false";1
500200;"G000";"Cost of sale 3";"charge";"false";"false";;;;"false";"false";1
500300;"G000";"Cost of sale 4";"charge";"false";"false";;;;"false";"false";1
"H000";"PNL";"Distribution costs";"view";"false";"false";;;;"false";"false";1
601000;"H000";"Distribution vehicles";"charge";"false";"false";;;;"false";"false";1
602000;"H000";"Distribution salaries and wages";"charge";"false";"false";;;;"false";"false";1
603000;"H000";"Shipping";"charge";"false";"false";;;;"false";"false";1
"H010";"H000";"Advertising and promotions";"view";"false";"false";;;;"false";"false";1
600000;"H010";"Marketing, POS";"charge";"false";"false";;;;"false";"false";1
600100;"H010";"Exhibitions and events";"charge";"false";"false";;;;"false";"false";1
600200;"H010";"PR";"charge";"false";"false";;;;"false";"false";1
"I000";"PNL";"Administrative expenses";"view";"false";"false";;;;"false";"false";1
"I010";"I000";"Salaries & wages";"view";"false";"false";;;;"false";"false";1
700000;"I010";"Directors pension";"charge";"false";"false";;;;"false";"false";1
700100;"I010";"Directors remuneration";"charge";"false";"false";;;;"false";"false";1
701000;"I010";"Admin gross salaries";"charge";"false";"false";;;;"false";"false";1
701100;"I010";"Management gross salaries";"charge";"false";"false";;;;"false";"false";1
701200;"I010";"Employers NIC";"charge";"false";"false";;;;"false";"false";1
702000;"I010";"Subcontractors payments";"charge";"false";"false";;;;"false";"false";1
"I020";"I000";"Legal and professional costs";"view";"false";"false";;;;"false";"false";1
761000;"I020";"Consultancy";"charge";"false";"false";;;;"false";"false";1
762000;"I020";"Legal and professional charges";"charge";"false";"false";;;;"false";"false";1
"I025";"I000";"Accountancy and audit";"view";"false";"false";;;;"false";"false";1
760100;"I025";"Accounting";"charge";"false";"false";;;;"false";"false";1
760200;"I025";"Auditing";"charge";"false";"false";;;;"false";"false";1
"I030";"I000";"Property costs";"view";"false";"false";;;;"false";"false";1
710000;"I030";"Rent and rates";"charge";"false";"false";;;;"false";"false";1
711000;"I030";"Light, heat and power";"charge";"false";"false";;;;"false";"false";1
712000;"I030";"Repairs, renewals and maintenance";"charge";"false";"false";;;;"false";"false";1
"I040";"I000";"Vehicle expenses";"view";"false";"false";;;;"false";"false";1
730000;"I040";"Car hire";"charge";"false";"false";;;;"false";"false";1
730100;"I040";"Car fuel";"charge";"false";"false";;;;"false";"false";1
730200;"I040";"Car maintenance";"charge";"false";"false";;;;"false";"false";1
"I050";"I000";"Administration and office expenses";"view";"false";"false";;;;"false";"false";1
750200;"I050";"Telephone";"charge";"false";"false";;;;"false";"false";1
750300;"I050";"Internet & hosting";"charge";"false";"false";;;;"false";"false";1
750400;"I050";"Mobiles";"charge";"false";"false";;;;"false";"false";1
750500;"I050";"Stationery";"charge";"false";"false";;;;"false";"false";1
750600;"I050";"Office consumables";"charge";"false";"false";;;;"false";"false";1
750700;"I050";"Postage and Carriage";"charge";"false";"false";;;;"false";"false";1
750800;"I050";"Books";"charge";"false";"false";;;;"false";"false";1
750900;"I050";"Network costs";"charge";"false";"false";;;;"false";"false";1
751000;"I050";"Software expenses";"charge";"false";"false";;;;"false";"false";1
751100;"I050";"Other computer costs";"charge";"false";"false";;;;"false";"false";1
751200;"I050";"Recruitment fees";"charge";"false";"false";;;;"false";"false";1
751300;"I050";"Other admin expenses";"charge";"false";"false";;;;"false";"false";1
850000;"I050";"Travel and subsistence";"charge";"false";"false";;;;"false";"false";1
"I060";"I000";"Sundry expenses";"view";"false";"false";;;;"false";"false";1
770000;"I060";"Exchange gains/losses";"charge";"false";"false";;;;"false";"false";1
771000;"I060";"Other sundry expenses";"charge";"false";"false";;;;"false";"false";1
785000;"I060";"Bad debts";"charge";"false";"false";;;;"false";"false";1
791000;"I060";"Bank, credit card and other financial charges";"charge";"false";"false";;;;"false";"false";1
820000;"I060";"Donations";"charge";"false";"false";;;;"false";"false";1
830000;"I060";"Entertaining";"charge";"false";"false";;;;"false";"false";1
840000;"I060";"Insurance";"charge";"false";"false";;;;"false";"false";1
"I070";"I000";"Depreciation expense";"view";"false";"false";;;;"false";"false";1
800000;"I070";"Intangible assets depn";"charge";"false";"false";;;;"false";"false";1
800100;"I070";"Tangible assets depn";"charge";"false";"false";;;;"false";"false";1
"J000";"PNL";"Other operating income";"view";"false";"false";;;;"false";"false";1
900000;"J000";"Profits/Losses on disposals of assets";"income";"false";"false";;;;"false";"false";1
"K000";"PNL";"Interest receivable and similar income:";"view";"false";"false";;;;"false";"false";1
490000;"K000";"Bank Interest received";"income";"false";"false";;;;"false";"false";1
491000;"K000";"Investment Interest received";"income";"false";"false";;;;"false";"false";1
"M000";"PNL";"Tax on profit or loss on ordinary activities";"view";"false";"false";;;;"false";"false";1
880000;"M000";"Corporation tax expense";"charge";"false";"false";;;;"false";"false";1
"l000";"PNL";"Interest payable and similar charges";"view";"false";"false";;;;"false";"false";1
790000;"l000";"Interest paid";"charge";"false";"false";;;;"false";"false";1
