"name";"roles"
"fleet-root";"Fleet Manager|Fleet User|Fleet Read"
"fleet-root-vehicle";"Fleet Manager|Fleet User|Fleet Read"
"fleet-root-vehicle-models";"Fleet Manager|Fleet User|Fleet Read"
"fleet-root-vehicle-contract";"Fleet Manager|Fleet User|Fleet Read"
"fleet-root-vehicle-fuel-log";"Fleet Manager|Fleet User|Fleet Read"
"fleet-root-vehicle-service-log";"Fleet Manager|Fleet User|Fleet Read"
"fleet-root-vehicle-cost";"Fleet Manager|Fleet User|Fleet Read"
"fleet-conf";"Fleet Manager"
"fleet-conf-recurring-cost";"Fleet Manager"
"fleet-conf-vehicle-make";"Fleet Manager"
"fleet-conf-vehicle-odometer";"Fleet Manager"
"fleet-conf-vehicle-service-type";"Fleet Manager"
"fleet-conf-vehicle-state";"Fleet Manager"
"fleet-conf-vehicle-tag";"Fleet Manager"
