"importId";"actionTypeSelect";"target";"value";"input";"isIncludedInContext";"assertTypeSelect";"unitTest.importId";"sequence"
1;"select";"project";"Project : self.code = ?1";"[""UNIT-TEST""]";;;1;0
2;"assert";"project";"null";;;"!=";1;1
3;"assign";"_project";"project";;"true";;1;2
4;"create";"invoicingProject";"InvoicingProject";;;;1;3
5;"call_action";"invoicingProject";"action-invoicing-project-group-on-new";"invoicingProject";;;1;4
6;"assert";"invoicingProject.logTimesSet";"null";;;"!=";1;5
7;"assign";"invoicingProject.projectTaskSet";"[]";;;;1;6
8;"assign";"invoicingProject.expenseLineSet";"[]";;;;1;7
9;"assign";"invoicingProject.saleOrderLineSet";"[]";;;;1;8
10;"assign";"invoicingProject.purchaseOrderLineSet";"[]";;;;1;9
11;"assign";"invoicingProject.projectTaskSet";"[]";;;;1;10
12;"call_action";"invoicingProject";"save,action-invoicing-project-method-generate-invoice";"invoicingProject";;;1;11
13;"assign";"invoice";"invoicingProject.invoice";;;;1;12
14;"call_action";"invoice";"action-invoice-method-validate-and-ventilate";"invoice";;;1;13
15;"assign";"projectTasksToInvoice";"project.projectTaskList.findAll {  it -> it. invoiced }";;;;1;14
16;"assert";"projectTasksToInvoice.size()";"2";;;"==";1;15
17;"create";"so";"SaleOrder";;;;2;0
18;"call_action";"so";"action-group-sale-saleorder-onnew";"so";;;2;1
19;"assign";"so.clientPartner";"""T0014 - 123 Services""";;;;2;2
20;"call_action";"so";"action-sale-order-group-client-partner-change";"so";;;2;3
21;"create";"line";"SaleOrderLine";;;;2;4
22;"call_action";"line";"action-group-sale-saleorderline-onnew";"line";;;2;5
23;"assign";"line.saleOrder";"so";;;;2;6
24;"assign";"line.product";"'[COMP-0001] Disque dur SATA 1To'";;;;2;7
25;"assign";"line.productName";"line.product.name";;;;2;8
26;"call_action";"line";"action-group-sale-saleorderline-product-onchange";"line";;;2;9
27;"add";"so.saleOrderLineList";"line";;;;2;10
28;"call_action";"so";"action-sale-order-line-change-group";"so";;;2;11
29;"create";"line";"SaleOrderLine";;;;2;12
30;"call_action";"line";"action-group-sale-saleorderline-onnew";"line";;;2;13
31;"assign";"line.saleOrder";"so";;;;2;14
32;"assign";"line.product";"'[SERV-0010] Dirigeant'";;;;2;15
33;"assign";"line.productName";"line.product.name";;;;2;16
