"importId";"name";"roles.name"
603;"sc-root-sale";"Admin"
604;"sc-root-sale-customers";"Admin"
605;"sc-root-sale-contacts";"Admin"
606;"sc-root-sale-pack";"Admin"
607;"sc-root-sale-products";"Admin"
608;"sc-root-sale-quotations";"Admin"
609;"sc-crm-root-sale-quotations";"Admin"
610;"sc-root-sale-orders";"Admin"
611;"sc-root-abc-analysis";"Admin"
612;"sc-root-sale-historical";"Admin"
613;"sc-root-sale-report";"Admin"
614;"sc-root-sale-maps";"Admin"
615;"sale-maps-partner-customers";"Admin"
616;"sale-maps-partner-prospects";"Admin"
617;"sc-root-sale-conf";"Admin"
618;"sale-conf-cancelreason";"Admin"
619;"sale-conf-duration";"Admin"
620;"sale-conf-shipping-costs";"Admin"
621;"sc-root-sale-conf-partner-price-list";"Admin"
622;"sc-root-sale-conf-price-list";"Admin"
623;"sc-root-sale-templates";"Admin"
624;"sale.conf.tax";"Admin"
625;"sale-conf-configurators";"Admin"
626;"sale-conf-configurators-creator";"Admin"
627;"sale-conf-configurators-configurators";"Admin"
628;"admin-root-batch-sale";"Admin"
629;"top-menu-sales";"Admin"
630;"top-menu-sales-quotations";"Admin"
631;"top-menu-sales-sale-orders";"Admin"
632;"menu-saleman-dashboard-sample";"Admin"
633;"menu-sale-manager-dashboard-sample";"Admin"
634;"menu-sale-dashboard-2";"Admin"
635;"menu-dashboards-customers";"Admin"
636;"sc-root-sale-pricing";"Admin"
637;"sc-root-sale-conf-pricing-rule";"Admin"
