"metaModel";"metaField";"anonymizer_importId";"useFakeData";"fakerApiField.name"
"JobApplication";"lastName";"8";"true";"name.lastName"
"JobApplication";"description";"8";"true";"lorem.sentence"
"JobApplication";"fax";"8";"true";"phoneNumber.phoneNumber"
"JobApplication";"linkedInProfile";"8";"true";"internet.url"
"JobApplication";"fixedPhone";"8";"true";"phoneNumber.phoneNumber"
"JobApplication";"fullName";"8";"true";"name.fullName"
"JobApplication";"firstName";"8";"true";"name.firstName"
"JobApplication";"mobilePhone";"8";"true";"phoneNumber.cellPhone"
"JobApplication";"referredBy";"8";"true";"lorem.word"

