"importId";"product.importId";"qty";"priority";"unit.importId";"hasNoManageStock";"billOfMaterial.importId";"billOfMaterialParent.importId"
2;200;2;10;1;"false";;1
3;210;1;10;1;"false";;1
4;220;1;10;1;"false";;1
5;230;4;10;1;"false";;1
6;240;1;10;1;"false";;1
7;250;1;10;1;"false";;1
8;300;1;10;1;"false";;1
9;301;1;10;1;"false";;1
21;200;2;10;1;"false";;20
22;210;1;10;1;"false";;20
23;220;1;10;1;"false";;20
24;231;2;10;1;"false";;20
25;240;1;10;1;"false";;20
26;250;1;10;1;"false";;20
27;300;1;10;1;"false";;20
28;301;1;10;1;"false";;20
41;201;3;10;1;"false";;40
42;211;1;10;1;"false";;40
43;220;1;10;1;"false";;40
44;231;4;10;1;"false";;40
45;241;1;10;1;"false";;40
46;250;1;10;1;"false";;40
47;300;1;10;1;"false";;40
48;301;1;10;1;"false";;40
61;110;1;10;1;"false";1;60
62;130;1;10;1;"false";;60
63;120;1;10;1;"false";;60
64;304;2;10;1;"false";;60
81;131;1;10;1;"false";;80
82;121;1;10;1;"false";;80
83;304;3;10;1;"false";;80
84;111;1;10;1;"false";84;80
85;201;3;10;1;"false";;84
86;211;1;10;1;"false";;84
87;220;1;10;1;"false";;84
88;231;4;10;1;"false";;84
89;241;1;10;1;"false";;84
90;250;1;10;1;"false";;84
91;300;1;10;1;"false";;84
92;301;1;10;1;"false";;84
