"metaModel";"metaField";"anonymizer_importId";"useFakeData";"fakerApiField.name"
"Employment";"fullName";"3";"true";"name.fullName"
"Employment";"name";"3";"true";"name.lastName"
"Employee";"companyCbDetails";"3";"true";"lorem.word"
"Employee";"leavingDate";"3";"true";"date.birthday"
"Employee";"phoneAtCustomer";"3";"true";"phoneNumber.phoneNumber"
"Employee";"emergencyContact";"3";"true";"name.fullName"
"Employee";"maritalName";"3";"true";"name.lastName"
"Employee";"fixedProPhone";"3";"true";"phoneNumber.phoneNumber"
"Employee";"mobileProPhone";"3";"true";"phoneNumber.cellPhone"
"Employee";"name";"3";"true";"name.lastName"
"Employee";"seniorityDate";"3";"true";"date.birthday"
"Employee";"maidenName";"3";"true";"name.lastName"
"Employee";"birthDate";"3";"true";"date.birthday"
"Employee";"socialSecurityNumber";"3";"true";"code.imei"
"Employee";"hireDate";"3";"true";"date.birthday"
"Employee";"emergencyNumber";"3";"true";"phoneNumber.phoneNumber"
"Employee";"emergencyContactRelationship";"3";"true";"lorem.word"
"DPAE";"healthService";"3";"true";"lorem.word"
"DPAE";"lastName";"3";"true";"name.lastName"
"DPAE";"socialSecurityNumber";"3";"true";"code.imei"
"DPAE";"hireTime";"3";"false";""
"DPAE";"companyFixedPhone";"3";"true";"phoneNumber.phoneNumber"
"DPAE";"registrationCode";"3";"true";"code.imei"
"DPAE";"firstName";"3";"true";"name.firstName"
"DPAE";"hireDate";"3";"true";"date.birthday"
"DPAE";"birthDate";"3";"true";"date.birthday"
"DPAE";"contractEndDate";"3";"true";"date.birthday"
"DPAE";"mainActivityCode";"3";"true";"lorem.character"
