"importId";"year";"date";"eventsPlanning.importId";"description"
1;2019;"2019-01-01";1;"Jour de l'An"
2;2019;"2019-04-21";1;"L. de Pâques"
3;2019;"2019-05-01";1;"Fête du travail"
4;2019;"2019-05-08";1;"Victoire 1945"
5;2019;"2019-05-30";1;"Ascension"
6;2019;"2019-06-10";1;"Lundi de Pentecôte"
7;2019;"2019-07-14";1;"Fête nationale"
8;2019;"2019-08-15";1;"Assomption"
9;2019;"2019-11-01";1;"Toussaint"
10;2019;"2019-11-11";1;"Armistice 1918"
11;2019;"2019-12-25";1;"Noël"
12;2020;"2020-01-01";1;"Jour de l'An"
13;2020;"2020-04-13";1;"L. de Pâques"
14;2020;"2020-05-01";1;"Fête du travail"
15;2020;"2020-05-08";1;"Victoire 1945"
16;2020;"2020-05-21";1;"Ascension"
17;2020;"2020-06-01";1;"Lundi de Pentecôte"
18;2020;"2020-07-14";1;"Fête nationale"
19;2020;"2020-08-15";1;"Assomption"
20;2020;"2020-11-01";1;"Toussaint"
21;2020;"2020-11-11";1;"Armistice 1918"
22;2020;"2020-12-25";1;"Noël"
