"importId";"leaveReasonName";"employee.importId";"quantity";"daysToValidate";"daysValidated";"totalQuantity"
1;"Congé payé légal et ancienneté";1;12;0;0;12
2;"Congé payé légal et ancienneté";2;52;0;0;52
3;"Congé payé légal et ancienneté";3;45;0;0;45
4;"Congé payé légal et ancienneté";4;5;0;0;5
5;"Congé payé légal et ancienneté";5;4;0;0;4
6;"Congé payé légal et ancienneté";6;23;0;0;23
7;"Congé payé légal et ancienneté";7;75;0;0;75
8;"Congé payé légal et ancienneté";8;11;0;0;11
9;"Congé payé légal et ancienneté";9;14;0;0;14
10;"Congé payé légal et ancienneté";10;10;0;0;10
11;"Congé payé légal et ancienneté";11;1;0;0;1
12;"Congé payé légal et ancienneté";12;31;0;0;31
13;"Congé payé légal et ancienneté";13;27;0;0;27
14;"Congé payé légal et ancienneté";14;16;0;0;16
15;"Congé payé légal et ancienneté";15;21;0;0;21
16;"Congé payé légal et ancienneté";16;9;0;0;9
17;"Congé payé légal et ancienneté";17;13;0;0;13
18;"Congé payé légal et ancienneté";18;8;0;0;8
19;"Congé sans solde";1;0;0;0;0
20;"Congé sans solde";2;0;0;0;0
21;"Congé sans solde";3;0;0;0;0
22;"Congé sans solde";4;0;0;0;0
23;"Congé sans solde";5;0;0;0;0
24;"Congé sans solde";6;0;0;0;0
25;"Congé sans solde";7;0;0;0;0
26;"Congé sans solde";8;0;0;0;0
27;"Congé sans solde";9;0;0;0;0
28;"Congé sans solde";10;0;0;0;0
29;"Congé sans solde";11;0;0;0;0
30;"Congé sans solde";12;0;0;0;0
31;"Congé sans solde";13;0;0;0;0
32;"Congé sans solde";14;0;0;0;0
33;"Congé sans solde";15;0;0;0;0
34;"Congé sans solde";16;0;0;0;0
35;"Congé sans solde";17;0;0;0;0
36;"Congé sans solde";18;0;0;0;0
