"comments";"leaveLine.importId";"value";"date";"fromDate";"toDate";"user.importId"
"Congés";1;12;"TODAY[-2M1d]";"TODAY[-3M1d]";"TODAY[-2M1d]";1
"Congés";2;52;"TODAY[-2M1d]";"TODAY[-3M1d]";"TODAY[-2M1d]";1
"Congés";3;45;"TODAY[-2M1d]";"TODAY[-3M1d]";"TODAY[-2M1d]";1
"Congés";4;5;"TODAY[-2M1d]";"TODAY[-3M1d]";"TODAY[-2M1d]";1
"Congés";5;4;"TODAY[-2M1d]";"TODAY[-3M1d]";"TODAY[-2M1d]";1
"Congés";6;23;"TODAY[-2M1d]";"TODAY[-3M1d]";"TODAY[-2M1d]";1
"Congés";7;75;"TODAY[-2M1d]";"TODAY[-3M1d]";"TODAY[-2M1d]";1
"Congés";8;11;"TODAY[-2M1d]";"TODAY[-3M1d]";"TODAY[-2M1d]";1
"Congés";9;14;"TODAY[-2M1d]";"TODAY[-3M1d]";"TODAY[-2M1d]";1
"Congés";10;10;"TODAY[-2M1d]";"TODAY[-3M1d]";"TODAY[-2M1d]";1
"Congés";11;1;"TODAY[-2M1d]";"TODAY[-3M1d]";"TODAY[-2M1d]";1
"Congés";12;31;"TODAY[-2M1d]";"TODAY[-3M1d]";"TODAY[-2M1d]";1
"Congés";13;27;"TODAY[-2M1d]";"TODAY[-3M1d]";"TODAY[-2M1d]";1
"Congés";14;16;"TODAY[-2M1d]";"TODAY[-3M1d]";"TODAY[-2M1d]";1
"Congés";15;21;"TODAY[-2M1d]";"TODAY[-3M1d]";"TODAY[-2M1d]";1
"Congés";16;9;"TODAY[-2M1d]";"TODAY[-3M1d]";"TODAY[-2M1d]";1
"Congés";17;13;"TODAY[-2M1d]";"TODAY[-3M1d]";"TODAY[-2M1d]";1
"Congés";18;8;"TODAY[-2M1d]";"TODAY[-3M1d]";"TODAY[-2M1d]";1
