"metaModel";"metaField";"anonymizer_importId";"useFakeData";"fakerApiField.name"
"Lead";"officeName";"2";"true";"company.name"
"Lead";"department";"2";"true";"commerce.department"
"Lead";"contactDate";"2";"true";"date.birthday"
"Lead";"titleSelect";"2";"false";""
"Lead";"fixedPhone";"2";"true";"phoneNumber.phoneNumber"
"Lead";"webSite";"2";"true";"internet.url"
"Lead";"fullName";"2";"true";"name.fullName"
"Lead";"firstName";"2";"true";"name.firstName"
"Lead";"mobilePhone";"2";"true";"phoneNumber.cellPhone"
"Lead";"name";"2";"true";"name.lastName"
"Lead";"primaryAddress";"2";"true";"address.streetAddress"
"Lead";"primaryPostalCode";"2";"true";"address.zipCode"
"Lead";"enterpriseName";"2";"true";"company.name"
"Lead";"name";"9";"false";""
"Lead";"firstName";"9";"false";""
"Lead";"fullName";"9";"false";""
"Lead";"primaryAddress";"9";"false";""
"Lead";"fixedPhone";"9";"false";""
"Lead";"mobilePhone";"9";"false";""
"Lead";"primaryPostalCode";"9";"false";""
