"id";"name";"date_entered";"date_modified";"modified_user_id";"created_by";"description";"deleted";"assigned_user_id";"team_id";"team_set_id";"account_type";"industry";"annual_revenue";"phone_fax";"billing_address_street";"billing_address_city";"billing_address_state";"billing_address_postalcode";"invoicing_addressL6";"billing_address_country";"rating";"phone_office";"phone_alternate";"website";"ownership";"employees";"ticker_symbol";"shipping_address_street";"shipping_address_city";"shipping_address_state";"shipping_address_postalcode";"shipping_address_country";"parent_id";"sic_code";"campaign_id";"email1";"account_name";"assigned_user_name";"team_name";"effectif_c";"classification_c"
"b9a402e9-0bd1-c4ac-7d72-4e7852301024";"OBERTHUR CARD SYSTEMS SA";"20-09-2011 10:44";"20-09-2011 10:44";"1";"1";;"0";"1";"1";"1";"Prospect";;;;;;;;" ";;;;;;;;;;;;;;;;;;"OBERTHUR CARD SYSTEMS SA";"admin";"Global";;
"68f1d289-9382-e008-e496-4e7852e12d8b";"THALES ELECTRONDEVICES";"20-09-2011 10:44";"20-09-2011 10:44";"1";"1";;"0";"1";"1";"1";"Prospect";;;;;;;;" ";;;;;;;;;;;;;;;;;;"THALES ELECTRONDEVICES";"admin";"Global";;
"ab9f247c-0d60-29a2-6878-4e7852133ae8";"LABORATOIRE MERCK SHARP ET DHOME-CHIBRET";"20-09-2011 10:44";"20-09-2011 10:44";"1";"1";;"0";"1";"1";"1";"Prospect";;;;;;;;" ";;;;;;;;;;;;;;;;;;"LABORATOIRE MERCK SHARP ET DHOME-CHIBRET";"admin";"Global";;
"adcdd2b5-add1-a95a-7a12-4e7849c5d5cb";"ZF LEMFORDER METAL FRANCE SA";"20-09-2011 10:06";"19-10-2011 11:13";"c540a0d6-1779-4e97-8e4a-4dc7c7e31516";"1";;"0";"1";"d31c0ba9-3d40-851a-bcec-4dc797ea1be4";"5a63902f-78ff-1815-c14d-4dc7a130bbb0";"Prospect";"Manufacturing";;;"1 RUE PASCAL";"FLORANGE CEDEX";;"57190";"57190 FLORANGE CEDEX";;;;;"http://";;"DE 500 é 9";;;;;;;;;;;"ZF LEMFORDER METAL FRANCE SA";"admin";"S-IDF,  ";;"P4"
"ab04048a-8568-ada4-6fd8-4e7849a23210";"ZF BOUTHEON";"20-09-2011 10:06";"19-10-2011 11:14";"c540a0d6-1779-4e97-8e4a-4dc7c7e31516";"1";;"0";"1";"d31c0ba9-3d40-851a-bcec-4dc797ea1be4";"5a63902f-78ff-1815-c14d-4dc7a130bbb0";"Prospect";"Manufacturing";;;"4 BOULEVARD PIERRE DESGRANGE";"ANDREZIEUX BOUTHEON CEDEX";;"42166";"42166 ANDREZIEUX BOUTHEON CEDEX";;;;;"http://";;"DE 500 é 9";;;;;;;;;;;"ZF BOUTHEON";"admin";"S-IDF,  ";;"P4"
"9a64ab1f-59fb-8c59-6b2c-4e78494586e9";"WAVIN";"20-09-2011 10:06";"19-10-2011 11:23";"c540a0d6-1779-4e97-8e4a-4dc7c7e31516";"1";;"0";"1";"d31c0ba9-3d40-851a-bcec-4dc797ea1be4";"5a63902f-78ff-1815-c14d-4dc7a130bbb0";"Prospect";"Manufacturing";;;"ZONE INDUSTRIELLE DE LA FEUILLUSE";"VARENNES SUR ALLIER";;"3150";"3150 VARENNES SUR ALLIER";;;;;"http://";;"DE 500 é 9";;;;;;;;;;;"WAVIN";"admin";"S-IDF,  ";;"P4"
"fbdd0afc-e963-ebb0-1355-4e7849aea643";"AIR PRODUCTS";"20-09-2011 10:06";"17-10-2011 12:01";"c540a0d6-1779-4e97-8e4a-4dc7c7e31516";"1";;"0";"1";"d31c0ba9-3d40-851a-bcec-4dc797ea1be4";"5a63902f-78ff-1815-c14d-4dc7a130bbb0";"Prospect";"Manufacturing";;;"78 RUE CHAMPIONNET";"PARIS";;"75018";"75018 PARIS";;;;;"http://";;"DE 500 é 9";;;;;;;;;;;"AIR PRODUCTS";"admin";"S-IDF,  ";;"P4"
"49a4d07d-d502-83f5-05be-4e78492968eb";"ALLIBERT EQUIPEMENT";"20-09-2011 10:06";"11-10-2011 16:24";"c540a0d6-1779-4e97-8e4a-4dc7c7e31516";"1";;"0";"1";"d31c0ba9-3d40-851a-bcec-4dc797ea1be4";"5a63902f-78ff-1815-c14d-4dc7a130bbb0";"Prospect";"Manufacturing";;;"5 RUE MONTESQUIEU";"NANTERRE CEDEX";;"92018";"92018 NANTERRE CEDEX";;;"01 41 20 09 90";;"http://";;"DE 500 é 9";;;;;;;;;;;"ALLIBERT EQUIPEMENT";"admin";"S-IDF,  ";;"P4"
"7c8e2f93-9750-3dee-b209-4e7849be5658";"AMCOR PET RECYCLING FRANCE";"20-09-2011 10:06";"11-10-2011 16:36";"c540a0d6-1779-4e97-8e4a-4dc7c7e31516";"1";;"0";"1";"d31c0ba9-3d40-851a-bcec-4dc797ea1be4";"5a63902f-78ff-1815-c14d-4dc7a130bbb0";"Prospect";"Manufacturing";;;"RUE LABORDE";"STE MARIE LA BLANCHE";;"21200";"21200 STE MARIE LA BLANCHE";;;;;"http://";;"DE 500 é 9";;;;;;;;;;;"AMCOR PET RECYCLING FRANCE";"admin";"S-IDF,  ";;"P4"
"7f89dda5-cea0-dc94-1042-4e7849368dc7";"AMIS ATELIERS MECANIQUES";"20-09-2011 10:06";"11-10-2011 16:37";"c540a0d6-1779-4e97-8e4a-4dc7c7e31516";"1";;"0";"1";"d31c0ba9-3d40-851a-bcec-4dc797ea1be4";"5a63902f-78ff-1815-c14d-4dc7a130bbb0";"Prospect";"Manufacturing";;;"21 RUE JACQUES ALEXANDRE DUCHET";"MONTLUCON CEDEX";;"3104";"3104 MONTLUCON CEDEX";;;;;"http://";;"DE 500 é 9";;;;;;;;;;;"AMIS ATELIERS MECANIQUES";"admin";"S-IDF,  ";;"P4"
"828cb3db-a120-164a-ba8e-4e7849e8759f";"AMPHENOL SOCAPEX";"20-09-2011 10:06";"11-10-2011 16:38";"c540a0d6-1779-4e97-8e4a-4dc7c7e31516";"1";;"0";"1";"d31c0ba9-3d40-851a-bcec-4dc797ea1be4";"5a63902f-78ff-1815-c14d-4dc7a130bbb0";"Prospect";"Manufacturing";;;"948 PROMENADE DE L ARVE";"THYEZ CEDEX";;"74311";"74311 THYEZ CEDEX";;;;;"http://";;"DE 500 é 9";;;;;;;;;;;"AMPHENOL SOCAPEX";"admin";"S-IDF,  ";;"P4"
"858d821d-4a70-0bf2-1cf7-4e7849065597";"ANDROS";"20-09-2011 10:06";"11-10-2011 16:38";"c540a0d6-1779-4e97-8e4a-4dc7c7e31516";"1";;"0";"1";"d31c0ba9-3d40-851a-bcec-4dc797ea1be4";"5a63902f-78ff-1815-c14d-4dc7a130bbb0";"Prospect";"Manufacturing";;;"ZONE INDUSTRIELLE";"BIARS SUR CERE";;"46130";"46130 BIARS SUR CERE";;;;;"http://";;"DE 500 é 9";;;;;;;;;;;"ANDROS";"admin";"S-IDF,  ";;"P4"
"8eff38af-518c-4b06-1edc-4e78496feae4";"ANTEA";"20-09-2011 10:06";"11-10-2011 16:42";"c540a0d6-1779-4e97-8e4a-4dc7c7e31516";"1";;"0";"1";"d31c0ba9-3d40-851a-bcec-4dc797ea1be4";"5a63902f-78ff-1815-c14d-4dc7a130bbb0";"Prospect";"Manufacturing";;;"AVENUE CLAUDE GUILLEMIN";"ORLEANS";;"45100";"45100 ORLEANS";;;;;"http://";;"DE 500 é 9";;;;;;;;;;;"ANTEA";"admin";"S-IDF,  ";;"P4"
"986950e3-50c8-970b-1484-4e7849b3d6bc";"APPETIT DE FRANCE";"20-09-2011 10:06";"11-10-2011 16:43";"c540a0d6-1779-4e97-8e4a-4dc7c7e31516";"1";;"0";"1";"d31c0ba9-3d40-851a-bcec-4dc797ea1be4";"5a63902f-78ff-1815-c14d-4dc7a130bbb0";"Prospect";"Manufacturing";;;"ZONE INDUSTRIELLE LES CHASSES";"ROMANS CEDEX";;"26106";"26106 ROMANS CEDEX";;;;;"http://";;"DE 500 é 9";;;;;;;;;;;"APPETIT DE FRANCE";"admin";"S-IDF,  ";;"P4"
"b6e60f4d-e657-e38e-9899-4e78492e4a94";"ARFEO";"20-09-2011 10:06";"11-10-2011 16:45";"c540a0d6-1779-4e97-8e4a-4dc7c7e31516";"1";;"0";"1";"d31c0ba9-3d40-851a-bcec-4dc797ea1be4";"5a63902f-78ff-1815-c14d-4dc7a130bbb0";"Prospect";"Manufacturing";;;"2 RUE JEANNE VIVEZ";"CHATEAU GONTIER CEDEX";;"53200";"53200 CHATEAU GONTIER CEDEX";;;;;"http://";;"DE 500 é 9";;;;;;;;;;;"ARFEO";"admin";"S-IDF,  ";;"P4"
"3c0f9398-6664-85af-8a47-4e7849436a7c";"BARRY CALLEBAUT";"20-09-2011 10:06";"14-10-2011 11:44";"c540a0d6-1779-4e97-8e4a-4dc7c7e31516";"1";;"0";"1";"d31c0ba9-3d40-851a-bcec-4dc797ea1be4";"5a63902f-78ff-1815-c14d-4dc7a130bbb0";"Prospect";"Manufacturing";;;"5 BOULEVARD MICHELET";"MEULAN";;"78250";"78250 MEULAN";;;;;"http://";;"DE 500 é 9";;;;;;;;;;;"BARRY CALLEBAUT";"admin";"S-IDF,  ";;"P4"
"41982012-0628-18c6-e4e2-4e7849e1feaf";"BARBIER";"20-09-2011 10:06";"14-10-2011 11:44";"c540a0d6-1779-4e97-8e4a-4dc7c7e31516";"1";;"0";"1";"d31c0ba9-3d40-851a-bcec-4dc797ea1be4";"5a63902f-78ff-1815-c14d-4dc7a130bbb0";"Prospect";"Manufacturing";;;"LA GUIDE";"STE SIGOLENE";;"43600";"43600 STE SIGOLENE";;;;;"http://";;"DE 500 é 9";;;;;;;;;;;"BARBIER";"admin";"S-IDF,  ";;"P4"
