"importId";"code";"name_fr_FR";"name_en_EN"
1;"INDIV";"Particulier";"Individual"
2;"SMB";"TPE";"Small business"
3;"SME";"PME";"Small and Medium Enterprises"
4;"KA";"Grand compte";"Key accounts"
5;"RESAL";"Revendeur";"Resaler"
6;"WHSAL";"Grossiste";"Wholesaler"
7;"FRANCH";"Franchisé";"Franchised"
8;"ADMIN";"Administration et collectivité";"Administration and local authorities"
9;"CONC";"Concurrent";"Competitor"
10;"INV";"Investisseur";"Investor"
11;"PRESS";"Presse";"Press"
12;"ASSOC";"Association";"Association"
