"name","object","read","write","delete","create","export","group"
"Account READ","com.axelor.apps.account.db.Account","true",,,,,"SALE|PURCH|HRSC|OPTS"
"Account MANAGE","com.axelor.apps.account.db.Account","true","true","true","true","true","ACCO|"
"AccountCategory READ","com.axelor.apps.account.db.AccountCategory","true",,,,,"SALE|PURCH|HRSC|OPTS"
"AccountCategory MANAGE","com.axelor.apps.account.db.AccountCategory","true","true","true","true","true","ACCO|"
"AccountCategoryLine READ","com.axelor.apps.account.db.AccountCategoryLine","true",,,,,"SALE|PURCH|HRSC|OPTS"
"AccountCategoryLine MANAGE","com.axelor.apps.account.db.AccountCategoryLine","true","true","true","true","true","ACCO|"
"AccountClearance READ","com.axelor.apps.account.db.AccountClearance","true",,,,,"SALE|PURCH|HRSC|OPTS"
"AccountClearance MANAGE","com.axelor.apps.account.db.AccountClearance","true","true","true","true","true","ACCO|"
"AccountConfig READ","com.axelor.apps.account.db.AccountConfig","true",,,,,"SALE|PURCH|HRSC|OPTS"
"AccountConfig MANAGE","com.axelor.apps.account.db.AccountConfig","true","true","true","true","true","ACCO|"
"AccountEquiv READ","com.axelor.apps.account.db.AccountEquiv","true",,,,,"SALE|PURCH|HRSC|OPTS"
"AccountEquiv MANAGE","com.axelor.apps.account.db.AccountEquiv","true","true","true","true","true","ACCO|"
"AccountingBatch READ","com.axelor.apps.account.db.AccountingBatch","true",,,,,"SALE|PURCH|HRSC|OPTS"
"AccountingBatch MANAGE","com.axelor.apps.account.db.AccountingBatch","true","true","true","true","true","ACCO|"
"AccountingSituation READ","com.axelor.apps.account.db.AccountingSituation","true",,,,,"SALE|PURCH|HRSC|OPTS"
"AccountingSituation MANAGE","com.axelor.apps.account.db.AccountingSituation","true","true","true","true","true","ACCO|"
"AccountManagement READ","com.axelor.apps.account.db.AccountManagement","true",,,,,"SALE|PURCH|HRSC|OPTS"
"AccountManagement MANAGE","com.axelor.apps.account.db.AccountManagement","true","true","true","true","true","ACCO|"
"AccountType READ","com.axelor.apps.account.db.AccountType","true",,,,,"SALE|PURCH|HRSC|OPTS"
"AccountType MANAGE","com.axelor.apps.account.db.AccountType","true","true","true","true","true","ACCO|"
"AnalyticAccount READ","com.axelor.apps.account.db.AnalyticAccount","true",,,,,"SALE|PURCH|HRSC|OPTS"
"AnalyticAccount MANAGE","com.axelor.apps.account.db.AnalyticAccount","true","true","true","true","true","ACCO|"
"AnalyticAccountManagement READ","com.axelor.apps.account.db.AnalyticAccountManagement","true",,,,,"SALE|PURCH|HRSC|OPTS"
"AnalyticAccountManagement MANAGE","com.axelor.apps.account.db.AnalyticAccountManagement","true","true","true","true","true","ACCO|"
"AnalyticAxis READ","com.axelor.apps.account.db.AnalyticAxis","true",,,,,"SALE|PURCH|HRSC|OPTS"
"AnalyticAxis MANAGE","com.axelor.apps.account.db.AnalyticAxis","true","true","true","true","true","ACCO|"
"AnalyticJournal READ","com.axelor.apps.account.db.AnalyticJournal","true",,,,,"SALE|PURCH|HRSC|OPTS"
"AnalyticJournal MANAGE","com.axelor.apps.account.db.AnalyticJournal","true","true","true","true","true","ACCO|"
"AnalyticJournalType READ","com.axelor.apps.account.db.AnalyticJournalType","true",,,,,"SALE|PURCH|HRSC|OPTS"
