"name";"roles"
"sc-root-purchase";"Purchase Manager|Purchase User|Purchase Read"
"sc-root-purchase-suppliers";"Purchase Manager|Purchase User|Purchase Read"
"sc-root-purchase-contacts";"Purchase Manager|Purchase User|Purchase Read"
"sc-root-purchase-products";"Purchase Manager|Purchase User|Purchase Read"
"sc-root-purchase-quotations";"Purchase Manager|Purchase User|Purchase Read"
"sc-root-purchase-orders";"Purchase Manager|Purchase User|Purchase Read"
"sc-root-purchase-historical";"Purchase Manager|Purchase User|Purchase Read"
"purchase-historical-finished-orders";"Purchase Manager|Purchase User|Purchase Read"
"purchase-historical-canceled-orders";"Purchase Manager|Purchase User|Purchase Read"
"sc-root-purchase-report";"Purchase Manager|Purchase User|Purchase Read"
"purchase-maps-partner-suppliers";"Purchase Manager|Purchase User|Purchase Read"
"sc-root-purchase-conf";"Purchase Manager"
"sc-root-purchase-conf-partner-price-list";"Purchase Manager"
"sc-root-purchase-conf-price-list";"Purchase Manager"
"top-menu-purchase";"Purchase Manager|Purchase User|Purchase Read"
"top-menu-purchase-quotations";"Purchase Manager|Purchase User|Purchase Read"
"top-menu-purchase-purchase-orders";"Purchase Manager|Purchase User|Purchase Read"
"menu-purchase-dashboard-1";"Purchase Manager|Purchase User|Purchase Read"
"menu-purchase-dashboard-2";"Purchase Manager|Purchase User|Purchase Read"
"menu-purchase-dashboard-3";"Purchase Manager|Purchase User|Purchase Read"
