"importId";"metaModel";"metaField";"anonymizer_importId";"useFakeData"
"98";"JobApplication";"lastName";"8";"false"
"98";"JobApplication";"description";"8";"false"
"98";"JobApplication";"fax";"8";"false"
"98";"JobApplication";"linkedInProfile";"8";"false"
"98";"JobApplication";"fixedPhone";"8";"false"
"98";"JobApplication";"fullName";"8";"false"
"98";"JobApplication";"firstName";"8";"false"
"98";"JobApplication";"mobilePhone";"8";"false"
"98";"JobApplication";"referredBy";"8";"false"

