"key","message","comment","context"
"App Portal","Portale delle applicazioni",,
"Awaiting invoices",,,
"Can confirm online","Può confermare online",,
"Can pay online","Può pagare online",,
"Code","Codice",,
"Customer helpdesk",,,
"Customer tickets",,,
"Delivery",,,
"Electronic signature","Firma elettronica",,
"Helpdesk",,,
"Invoicing",,,
"Last delivery",,,
"Last order",,,
"Manage invoices","Gestire le fatture",,
"Manage sale orders","Gestire gli ordini di vendita",,
"Manage tickets","Gestire i biglietti",,
"My delivery",,,
"My invoices",,,
"My projects",,,
"My quotations",,,
"My sale orders",,,
"My space",,,
"Name","Nome",,
"Next delivery",,,
"Online payment method","Metodo di pagamento online",,
"Online payment methods","Metodi di pagamento online",,
"Order",,,
"Orders",,,
"Overdue invoices",,,
"Password","La password",,
"Project",,,
"Projects",,,
"Quotation",,,
"Quotation in progress",,,
"Realized delivery",,,
"Resolved tickets",,,
"Tasks due",,,
"Tasks in progress",,,
"Tickets %s",,,
"Tickets company",,,
"Total remaining",,,
"value:Portal","valore:Portale",,
