"key","message","comment","context"
"ABS portal",,,
"App Portal","App Portal",,
"Can confirm online","Может подтвердить онлайн",,
"Can pay online","Можно оплатить онлайн",,
"Code","Код",,
"Electronic signature","Электронная подпись",,
"External portal",,,
"Manage delivery",,,
"Manage invoices","Управление счетами-фактурами",,
"Manage projects",,,
"Manage sale orders","Управление заказами на продажу",,
"Manage tickets","Управлять билетами",,
"Modules",,,
"Name","Имя",,
"Online payment method","Онлайн-оплата",,
"Online payment methods","Способы оплаты онлайн",,
"Password","Пароль",,
"Portal",,,
"value:Portal","значение:Портал",,
