"name";"roles"
"menu-project-root";"Project Manager|Project User|Project Read"
"project-folder";"Project Manager|Project User|Project Read"
"project-all";"Project Manager|Project User|Project Read"
"project-task-all";"Project Manager|Project User|Project Read"
"project-open-tasks";"Project Manager|Project User|Project Read"
"project-task-history";"Project Manager|Project User|Project Read"
"project-wiki";"Project Manager|Project User|Project Read"
"project-resource";"Project Manager|Project User|Project Read"
"project-resource-booking";"Project Manager|Project User|Project Read"
"project-configurations";"Project Manager"
"project-resource-type";"Project Manager"
"project-open-tickets";"Project Manager|Project User|Project Read"
"project-template";"Project Manager|Project User|Project Read"
"project-task-template";"Project Manager|Project User|Project Read"
"project-project-template";"Project Manager|Project User|Project Read"
"project-current-project";"Project Manager|Project User|Project Read"
"project-activity";"Project Manager|Project User|Project Read"
"project-tags";"Project Manager|Project User|Project Read"
"project-wiki-folder";"Project Manager|Project User|Project Read"
"project-reporting-my-projects";"Project Manager|Project User|Project Read"
"project-reporting-planned-charge";"Project Manager|Project User|Project Read"
"project-reporting-project-dashboard";"Project Manager|Project User|Project Read"
"project-task-category";"Project Manager|Project User|Project Read"
"project-task-section";"Project Manager|Project User|Project Read"
"project-topic";"Project Manager|Project User|Project Read"
"project-configurations-project-status";"Project Manager|Project User|Project Read"
"project-configurations-task-status";"Project Manager|Project User|Project Read"
"project-task-project-priority";"Project Manager|Project User|Project Read"
"project-historical";"Project Manager|Project User|Project Read"
"project-reporting";"Project Manager|Project User|Project Read"
