"importId";"code";"name"
1;"319";"ACORES-MADERE *"
2;"212";"AFGHANE"
3;"303";"AFRICAINE SUD"
4;"125";"ALBANAISE"
5;"352";"ALGERIENNE"
6;"109";"ALLEMANDE"
7;"404";"AMERICAINE"
8;"130";"ANDORRANE"
9;"395";"ANGOLA"
10;"441";"ANTIGUA et BARBUDA"
11;"201";"ARABIE SAOUD."
12;"415";"ARGENTINE"
13;"252";"ARMENIE"
14;"501";"AUSTRALIENNE"
15;"990";"AUTRES PAYS"
16;"110";"AUTRICHIENNE"
17;"253";"AZERBAIDJAN"
18;"436";"BAHAMAS"
19;"249";"BAHREIN"
20;"246";"BANGLADESH"
21;"434";"BARBADE"
22;"131";"BELGE"
23;"429";"BELIZE"
24;"327";"BENINOISE"
25;"214";"BHOUTAN"
26;"148";"BIELORUSSE"
27;"224";"BIRMANE"
28;"418";"BOLIVIENNE"
29;"118";"BOSNIE-HERZEGOVINE"
30;"347";"BOTSWANA"
31;"416";"BRESILIENNE"
32;"132";"BRITANNIQUE"
33;"225";"BRUNEI"
34;"111";"BULGARE"
35;"331";"BURKINA-FASO"
36;"321";"BURUNDI"
37;"234";"CAMBODGE"
38;"322";"CAMEROUNAISE"
39;"401";"CANADIENNE"
40;"396";"CAP VERT"
41;"323";"CENTRAFRICAINE"
42;"417";"CHILIENNE"
43;"216";"CHINE POPUL."
44;"254";"CHYPRIOTE"
45;"419";"COLOMBIENNE"
46;"397";"COMORES"
47;"324";"CONGOLAISE"
48;"312";"REP.DEMOCRAT.du CONGO"
49;"238";"COREE(REP.Populaire Démocratique)"
50;"239";"COREE"
51;"406";"COSTARICIENNE"
52;"119";"CROATE"
53;"407";"CUBAINE"
54;"101";"DANOISE"
55;"399";"DJIBOUTI"
56;"408";"DOMINICAINE"
57;"301";"EGYTIENNE"
58;"414";"EL SALVADOR"
59;"247";"EMIRATS ARABES UNIS"
60;"420";"EQUATORIENNE"
61;"317";"ERYTHREE"
62;"134";"ESPAGNOLE"
63;"106";"ESTONIE"
64;"315";"ETHIOPIE (ABYSSINIE)"
65;"508";"FIDJI"
66;"105";"FINLANDAISE"
67;"100";"FRANCAISE"
68;"328";"GABONAISE"
69;"304";"GAMBIE"
70;"255";"GEORGIE"
71;"329";"GHANEENNE"
72;"133";"GIBRALTAR *"
73;"126";"GRECQUE"
74;"435";"GRENADE-GRENADINES"
75;"430";"GROENLAND *"
76;"409";"GUATEMALTAISE"
77;"392";"GUINEE BISSAO"
78;"314";"GUINEE EQUATORIALE"
79;"330";"GUINEENNE"
80;"428";"GUYANA"
81;"410";"HAITIENNE"
82;"135";"HOLLANDAISE"
83;"411";"HONDURIENNE"
84;"230";"HONGKONG *"
85;"112";"HONGROISE"
86;"438";"ILE DE LA DOMINIQUE"
87;"439";"ILE STE LUCIE"
88;"515";"ILE MARSHALL"
89;"440";"ILE ST VINCENT et GRENADINES"
90;"223";"INDIENNE"
91;"231";"INDONESIENNE"
92;"203";"IRAKIENNE"
93;"204";"IRANIENNE"
94;"136";"IRLANDAISE"
95;"102";"ISLANDAISE"
96;"207";"ISRAELIENNE"
97;"127";"ITALIENNE"
98;"326";"IVOIRIENNE"
99;"426";"JAMAICAINE"
100;"217";"JAPONAISE"
101;"222";"JORDANIENNE"
102;"256";"KAZAKHSTAN"
103;"332";"KENYA"
104;"257";"KIRGUIZISTAN"
105;"513";"KIRIBATI"
106;"240";"KOWEIT"
107;"241";"LAOTIENNE"
108;"348";"LESOTHO"
109;"107";"LETTONIE"
110;"205";"LIBANAISE"
111;"302";"LIBERIENNE"
112;"316";"LIBYENNE"
113;"113";"LIECHTENSTEIN"
114;"108";"LITUANIE"
115;"137";"LUXEMBOURGEOISE"
116;"232";"MACAO *"
117;"156";"MACEDOINE"
118;"227";"MALAISIE"
119;"334";"MALAWI"
120;"229";"MALDIVES"
121;"333";"MALGACHE"
122;"335";"MALIENNE"
123;"144";"MALTAISE"
124;"350";"MAROCAINE"
125;"390";"MAURICIENNE"
126;"336";"MAURITANIE"
127;"405";"MEXICAINE"
128;"516";"MICRONESIE"
129;"151";"MOLDAVE"
130;"138";"MONEGASQUE"
131;"242";"MONGOLIE EXTERIEURE"
132;"393";"MOZAMBIQUE"
133;"311";"NAMIBIE"
134;"507";"NAURU"
135;"502";"NEO-ZELANDAISE"
136;"215";"NEPALAISE"
137;"412";"NICARAGUAYENNE"
138;"337";"NIGER"
139;"338";"NIGERIA"
140;"103";"NORVEGIENNE"
141;"339";"OUGANDAISE"
142;"258";"OUZBEKISTAN"
143;"213";"PAKISTANAISE"
144;"261";"PALESTINE"
145;"413";"PANAMEENNE"
146;"510";"PAPAOUSIE-NLE GUINEE"
147;"421";"PARAGUAYENNE"
148;"422";"PERUVIENNE"
149;"220";"PHILIPPINE"
150;"122";"POLONAISE"
151;"139";"PORTUGAISE"
152;"313";"PROV.ESP.AFR. PRESIDES *"
153;"248";"QATAR"
154;"114";"ROUMAINE"
155;"340";"RWANDAISE"
156;"123";"RUSSE"
157;"442";"St.CHRISTOPHE et NIEVES"
158;"389";"SAHARA OCCIDENTAL"
159;"512";"SALOMON"
160;"506";"SAMOA Occidentales"
161;"995";"SANS NATIONALITE"
162;"394";"SAO-THOME et PRINCIPE"
163;"341";"SENEGALAISE"
164;"398";"SEYCHELLES"
165;"342";"SIERRA LEONE"
166;"226";"SINGAPOUR"
167;"117";"SLOVAQUE"
168;"145";"SLOVENE"
169;"318";"SOMALIENNE"
170;"343";"SOUDANAISE"
