"importId";"name";"code";"fromDate";"toDate";"company_importId";"statusSelect";"typeSelect";"periodDurationSelect"
3;"AF";"AF";"TODAY[-3y=1M=1d]";"TODAY[-3y=12M=31d]";1;1;1;1
4;"AF";"AF";"TODAY[-2y=1M=1d]";"TODAY[-2y=12M=31d]";1;1;1;1
5;"AF";"AF";"TODAY[-1y=1M=1d]";"TODAY[-1y=12M=31d]";1;1;1;1
6;"AF";"AF";"TODAY[=1M=1d]";"TODAY[=12M=31d]";1;1;1;1
7;"AC";"AC";"TODAY[-3y=1M=1d]";"TODAY[-3y=12M=31d]";1;1;0;1
8;"AC";"AC";"TODAY[-2y=1M=1d]";"TODAY[-2y=12M=31d]";1;1;0;1
9;"AC";"AC";"TODAY[-1y=1M=1d]";"TODAY[-1y=12M=31d]";1;1;0;1
10;"AC";"AC";"TODAY[=1M=1d]";"TODAY[=12M=31d]";1;1;0;1
11;"AP";"AP";"TODAY[-3y=1M=1d]";"TODAY[-3y=12M=31d]";1;1;2;12
12;"AP";"AP";"TODAY[-2y=1M=1d]";"TODAY[-2y=12M=31d]";1;1;2;12
13;"AP";"AP";"TODAY[-1y=1M=1d]";"TODAY[-1y=12M=31d]";1;1;2;12
14;"AP";"AP";"TODAY[=1M=1d]";"TODAY[=12M=31d]";1;1;2;12
