"importId";"metaModel";"metaField";"anonymizer_importId";"useFakeData"
"1";"Address";"addressL2";"1";"false"
"2";"Address";"addressL3";"1";"false"
"3";"Address";"addressL4";"1";"false"
"4";"Address";"addressL5";"1";"false"
"5";"Address";"addressL6";"1";"false"
"6";"Address";"inseeCode";"1";"false"
"7";"Address";"latit";"1";"false"
"8";"Address";"zip";"1";"false"
"9";"Address";"streetNumber";"1";"false"
"10";"Address";"fullName";"1";"false"
"11";"Address";"longit";"1";"false"
"12";"EmailAddress";"address";"1";"false"
"13";"EmailAddress";"name";"1";"false"
"14";"User";"name";"1";"false"
"15";"User";"email";"1";"false"
"16";"User";"fullName";"1";"false"
"17";"Partner";"siren";"1";"false"
"18";"Partner";"companyStr";"1";"false"
"19";"Partner";"taxNbr";"1";"false"
"20";"Partner";"registrationCode";"1";"false"
"21";"Partner";"fullName";"1";"false"
"22";"Partner";"functionBusinessCard";"1";"false"
"23";"Partner";"simpleFullName";"1";"false"
"24";"Partner";"name";"1";"false"
"25";"Partner";"firstName";"1";"false"
"26";"Partner";"mobilePhone";"1";"false"
"27";"Partner";"webSite";"1";"false"
"28";"Partner";"headOfficeAddress";"1";"false"
"29";"Partner";"fixedPhone";"1";"false"
