"importId";"appBase";"startCurrency.code";"endCurrency.code";"exchangeRate";"fromDate";"toDate"
1;"base";"EUR";"USD";"1.0865";"TODAY[-12M]";"TODAY[-6M-1d]"
2;"base";"EUR";"GBP";"0.8732";"TODAY[-12M]";"TODAY[-6M-1d]"
3;"base";"EUR";"CNY";"7.6904";"TODAY[-12M]";"TODAY[-6M-1d]"
4;"base";"EUR";"JPY";"116.981";"TODAY[-12M]";"TODAY[-6M-1d]"
5;"base";"EUR";"CHF";"1.0517";"TODAY[-12M]";"TODAY[-6M-1d]"
60;"base";"EUR";"USD";"1.1814";"TODAY[-6M]";"TODAY[-3M-1d]"
61;"base";"EUR";"GBP";"0.9034";"TODAY[-6M]";"TODAY[-3M-1d]"
62;"base";"EUR";"CNY";"7.8929";"TODAY[-6M]";"TODAY[-3M-1d]"
63;"base";"EUR";"JPY";"124.775";"TODAY[-6M]";"TODAY[-3M-1d]"
64;"base";"EUR";"CHF";"1.0726";"TODAY[-6M]";"TODAY[-3M-1d]"
300;"base";"EUR";"USD";"1.2116";"TODAY[-3M]";"TODAY[-1d]"
301;"base";"EUR";"GBP";"0.8864";"TODAY[-3M]";"TODAY[-1d]"
302;"base";"EUR";"CNY";"7.8333";"TODAY[-3M]";"TODAY[-1d]"
303;"base";"EUR";"JPY";"125.467";"TODAY[-3M]";"TODAY[-1d]"
304;"base";"EUR";"CHF";"1.0771";"TODAY[-3M]";"TODAY[-1d]"
1000;"base";"EUR";"USD";"1.2036";"TODAY";
1001;"base";"EUR";"GBP";"0.8636";"TODAY";
1002;"base";"EUR";"CNY";"7.8221";"TODAY";
1003;"base";"EUR";"JPY";"130.045";"TODAY";
1004;"base";"EUR";"CHF";"1.1024";"TODAY";
1005;"base";"EUR";"AUD";"1.5579";"TODAY";
1006;"base";"EUR";"CAD";"1.5172";"TODAY";
1007;"base";"EUR";"NZD";"1.6760";"TODAY";
1008;"base";"EUR";"SEK";"10.1486";"TODAY";
1009;"base";"EUR";"KRW";"1344.2025";"TODAY";
1010;"base";"EUR";"SGD";"1.5995";"TODAY";
1011;"base";"EUR";"NOK";"10.0765";"TODAY";
1012;"base";"EUR";"MXN";"24.0084";"TODAY";
1013;"base";"EUR";"INR";"90.8257";"TODAY";
1014;"base";"EUR";"RUB";"92.6820";"TODAY";
1015;"base";"EUR";"ZAR";"17.2152";"TODAY";
1016;"base";"EUR";"TRY";"9.7796";"TODAY";
1017;"base";"EUR";"TWD";"33.8250";"TODAY";
1018;"base";"EUR";"DKK";"7.4365";"TODAY";
1019;"base";"EUR";"PLN";"4.5508";"TODAY";
