"importId";"startUnit.importId";"coef";"endUnit.importId";typeSelect;formula
1;102;4;101;1;
2;103;8;101;1;
3;104;5;103;1;
4;105;20;103;1;
5;106;12;105;1;
6;106;251;103;1;
7;3;2;1;1;
8;3;2;2;1;
9;4;6;1;1;
10;4;6;2;1;
11;5;12;1;1;
12;5;12;2;1;
13;6;12;1;1;
14;6;12;2;1;
15;7;50;1;1;
16;7;50;2;1;
17;8;100;1;1;
18;8;100;2;1;
19;9;500;1;1;
20;9;500;2;1;
21;10;1000;1;1;
22;10;1000;2;1;
23;103;480;100;1;
24;501;0;306;2;"// Convert from m3 to kg using the product characteristics
$Product.netMass$ / $Product.articleVolume$"
