"importId";"name";"labelToPrinting";"unitTypeSelect"
1;"Unité";"Unité";
2;"Pièce";"Pièce";
3;"Boîte de 2 Pces";"Boîte de 2 Pces";
4;"Boîte de 6 Pces";"Boîte de 6 Pces";
5;"Boîte de 12 Pces";"Boîte de 12 Pces";
6;"Boîte de 24 Pces";"Boîte de 24 Pces";
7;"Boîte de 50 Pces";"Boîte de 50 Pces";
8;"Boîte de 100 Pces";"Boîte de 100 Pces";
9;"Boîte de 500 Pces";"Boîte de 500 Pces";
10;"Boîte de 1000 Pces";"Boîte de 1000 Pces";
100;"Minute";"Minute";3
101;"Heure";"Heure";3
102;"Demi-journée";"Demi-journée";3
103;"Jour";"Jour";3
104;"Semaine";"Semaine";3
105;"Mois";"Mois";3
106;"Année";"Année";3
200;"Pourcentage";"Pourcentage";
300;"Milligrammes";"mg";1
301;"Centigrammes";"cg";1
302;"Décigrammes";"dg";1
303;"Grammes";"g";1
304;"Décagrammes";"dag";1
305;"Hectogrammes";"hg";1
306;"Kilogrammes";"kg";1
307;"Quintal";"q";1
308;"Tonne";"t";1
400;"Millimètres";"mm";2
401;"Centimètres";"cm";2
402;"Décimètres";"dm";2
403;"Mètres";"m";2
404;"Décamètres";"dam";2
405;"Hectomètres";"hm";2
406;"Kilomètres";"km";2
407;"Miles";"miles";2
