"importId";"code";"department.code";"artmin";"name";"inhabitantsNbr "
"1";"0101";"01";;"AMBERIEU-EN-BUGEY";"00000000"
"2";"0102";"01";;"BAGE-LE-CHATEL";"00000000"
"3";"0103";"01";;"BELLEGARDE-SUR-VALSERINE";"00000000"
"4";"0104";"01";;"BELLEY";"00000000"
"5";"0106";"01";;"BRENOD";"00000000"
"6";"0107";"01";;"CEYZERIAT";"00000000"
"7";"0108";"01";;"CHALAMONT";"00000000"
"8";"0109";"01";;"CHAMPAGNE-EN-VALROMEY";"00000000"
"9";"0110";"01";;"CHATILLON-SUR-CHALARONNE";"00000000"
"10";"0111";"01";;"COLIGNY";"00000000"
"11";"0112";"01";;"COLLONGES";"00000000"
"12";"0113";"01";;"FERNEY-VOLTAIRE";"00000000"
"13";"0114";"01";;"GEX";"00000000"
"14";"0115";"01";;"HAUTEVILLE-LOMPNES";"00000000"
"15";"0116";"01";;"IZERNORE";"00000000"
"16";"0117";"01";;"LAGNIEU";"00000000"
"17";"0118";"01";;"LHUIS";"00000000"
"18";"0119";"01";;"MEXIMIEUX";"00000000"
"19";"0120";"01";;"MONTLUEL";"00000000"
"20";"0121";"01";;"MONTREVEL-EN-BRESSE";"00000000"
"21";"0122";"01";;"NANTUA";"00000000"
"22";"0123";"01";;"OYONNAX-NORD";"00000000"
"23";"0124";"01";;"PONCIN";"00000000"
"24";"0125";"01";;"PONT-D'AIN";"00000000"
"25";"0126";"01";;"PONT-DE-VAUX";"00000000"
"26";"0127";"01";;"PONT-DE-VEYLE";"00000000"
"27";"0128";"01";;"SAINT-RAMBERT-EN-BUGEY";"00000000"
"28";"0129";"01";;"SAINT-TRIVIER-DE-COURTES";"00000000"
"29";"0130";"01";;"SAINT-TRIVIER-SUR-MOIGNANS";"00000000"
"30";"0131";"01";;"SEYSSEL";"00000000"
"31";"0132";"01";;"THOISSEY";"00000000"
"32";"0133";"01";;"TREFFORT-CUISIAT";"00000000"
"33";"0134";"01";;"TREVOUX";"00000000"
"34";"0135";"01";;"VILLARS-LES-DOMBES";"00000000"
"35";"0136";"01";;"VIRIEU-LE-GRAND";"00000000"
"36";"0139";"01";;"PERONNAS";"00000000"
"37";"0140";"01";;"MIRIBEL";"00000000"
"38";"0141";"01";;"OYONNAX-SUD";"00000000"
"39";"0142";"01";;"REYRIEUX";"00000000"
"40";"0143";"01";;"VIRIAT";"00000000"
"41";"0201";"02";;"ANIZY-LE-CHATEAU";"00000000"
"42";"0202";"02";;"AUBENTON";"00000000"
"43";"0203";"02";;"BOHAIN-EN-VERMANDOIS";"00000000"
"44";"0204";"02";;"BRAINE";"00000000"
"45";"0205";"02";"(LA)";"CAPELLE";"00000000"
"46";"0206";"02";"(LE)";"CATELET";"00000000"
"47";"0207";"02";;"CHARLY-SUR-MARNE";"00000000"
"48";"0208";"02";;"CHATEAU-THIERRY";"00000000"
"49";"0209";"02";;"CHAUNY";"00000000"
"50";"0210";"02";;"CONDE-EN-BRIE";"00000000"
"51";"0211";"02";;"COUCY-LE-CHATEAU-AUFFRIQUE";"00000000"
"52";"0212";"02";;"CRAONNE";"00000000"
"53";"0213";"02";;"CRECY-SUR-SERRE";"00000000"
"54";"0214";"02";"(LA)";"FERE";"00000000"
"55";"0215";"02";;"FERE-EN-TARDENOIS";"00000000"
"56";"0216";"02";;"GUISE";"00000000"
"57";"0217";"02";;"HIRSON";"00000000"
"58";"0218";"02";;"LAON-NORD";"00000000"
"59";"0219";"02";;"MARLE";"00000000"
"60";"0220";"02";;"MOY-DE-L'AISNE";"00000000"
"61";"0221";"02";;"NEUFCHATEL-SUR-AISNE";"00000000"
"62";"0222";"02";;"NEUILLY-SAINT-FRONT";"00000000"
"63";"0223";"02";"(LE)";"NOUVION-EN-THIERACHE";"00000000"
"64";"0224";"02";;"OULCHY-LE-CHATEAU";"00000000"
"65";"0225";"02";;"RIBEMONT";"00000000"
"66";"0226";"02";;"ROZOY-SUR-SERRE";"00000000"
"67";"0227";"02";;"SAINS-RICHAUMONT";"00000000"
"68";"0229";"02";;"SAINT-SIMON";"00000000"
"69";"0230";"02";;"SISSONNE";"00000000"
"70";"0231";"02";;"SOISSONS-NORD";"00000000"
"71";"0232";"02";;"VAILLY-SUR-AISNE";"00000000"
"72";"0233";"02";;"VERMAND";"00000000"
"73";"0234";"02";;"VERVINS";"00000000"
"74";"0235";"02";;"VIC-SUR-AISNE";"00000000"
"75";"0236";"02";;"VILLERS-COTTERETS";"00000000"
"76";"0237";"02";;"WASSIGNY";"00000000"
"77";"0238";"02";;"LAON-SUD";"00000000"
"78";"0239";"02";;"SAINT-QUENTIN-NORD";"00000000"
"79";"0240";"02";;"SAINT-QUENTIN-SUD";"00000000"
"80";"0241";"02";;"SOISSONS-SUD";"00000000"
"81";"0242";"02";;"TERGNIER";"00000000"
"82";"0301";"03";;"BOURBON-L'ARCHAMBAULT";"00000000"
"83";"0302";"03";;"CERILLY";"00000000"
"84";"0303";"03";;"CHANTELLE";"00000000"
"85";"0304";"03";;"CHEVAGNES";"00000000"
"86";"0305";"03";;"COMMENTRY";"00000000"
"87";"0306";"03";;"CUSSET-NORD";"00000000"
"88";"0307";"03";;"DOMPIERRE-SUR-BESBRE";"00000000"
"89";"0308";"03";"(LE)";"DONJON";"00000000"
"90";"0309";"03";;"EBREUIL";"00000000"
"91";"0310";"03";;"ESCUROLLES";"00000000"
"92";"0311";"03";;"GANNAT";"00000000"
"93";"0312";"03";;"HERISSON";"00000000"
"94";"0313";"03";;"HURIEL";"00000000"
"95";"0314";"03";;"JALIGNY-SUR-BESBRE";"00000000"
"96";"0315";"03";;"LAPALISSE";"00000000"
"97";"0316";"03";;"LURCY-LEVIS";"00000000"
"98";"0317";"03";;"MARCILLAT-EN-COMBRAILLE";"00000000"
"99";"0318";"03";"(LE)";"MAYET-DE-MONTAGNE";"00000000"
"100";"0319";"03";"(LE)";"MONTET";"00000000"
"101";"0320";"03";;"MONTLUCON-EST (4E CANTON)";"00000000"
"102";"0321";"03";;"MONTLUCON-OUEST (2E CANTON)";"00000000"
"103";"0322";"03";;"MONTMARAULT";"00000000"
"104";"0323";"03";;"MOULINS-SUD";"00000000"
"105";"0324";"03";;"MOULINS-OUEST";"00000000"
"106";"0325";"03";;"NEUILLY-LE-REAL";"00000000"
"107";"0326";"03";;"SAINT-POURCAIN-SUR-SIOULE";"00000000"
"108";"0327";"03";;"SOUVIGNY";"00000000"
"109";"0328";"03";;"VARENNES-SUR-ALLIER";"00000000"
"110";"0331";"03";;"MONTLUCON-NORD-EST (1ER CANTON)";"00000000"
"111";"0332";"03";;"MONTLUCON-SUD (3E CANTON)";"00000000"
"112";"0333";"03";;"YZEURE";"00000000"
"113";"0334";"03";;"DOMERAT-MONTLUCON-NORD-OUEST";"00000000"
"114";"0335";"03";;"CUSSET-SUD";"00000000"
"115";"0402";"04";;"ANNOT";"00000000"
"116";"0403";"04";;"BANON";"00000000"
"117";"0404";"04";;"BARCELONNETTE";"00000000"
"118";"0405";"04";;"BARREME";"00000000"
"119";"0406";"04";;"CASTELLANE";"00000000"
"120";"0407";"04";;"ALLOS-COLMARS";"00000000"
"121";"0408";"04";;"DIGNE-LES-BAINS-EST";"00000000"
"122";"0409";"04";;"ENTREVAUX";"00000000"
"123";"0410";"04";;"FORCALQUIER";"00000000"
"124";"0411";"04";"(LA)";"JAVIE";"00000000"
"125";"0412";"04";"(LE)";"LAUZET-UBAYE";"00000000"
"126";"0413";"04";;"MANOSQUE-NORD";"00000000"
