"importId";"code";"name";"_activeTaxLine"
"1";"N_C";"TVA Coll. (V) taux normal";"11"
"2";"R1_C";"TVA Coll. (V) taux réduit 10%";"12"
"3";"R2_C";"TVA Coll. (V) taux réduit 5.5%";"3"
"4";"U_C";"TVA Coll. (V) taux ultra-réduit";"4"
"5";"X_C";"TVA Exonérée vente";"5"
"6";"UE_X_C";"TVA Exonérée (V) Livr. Intra. Com.";"15"
"7";"EXP_X_C";"TVA Exonérée (V) Export";"16"
"8";"N_D";"TVA Déd. (A) taux normal";"13"
"9";"R1_D";"TVA Déd. (A) taux réduit 10%";"14"
"10";"R2_D";"TVA Déd. (A) taux réduit 5.5%";"8"
"11";"U_D";"TVA Déd. (A) taux ultra-réduit";"9"
"12";"X_D";"TVA Exonérée achat";"10"
"13";"UE_N_D";"TVA Due Intracom. (A) tx normal";"18"
"14";"UE_R1_D";"TVA Due Intracom. (A) tx réduit 10%";"20"
"15";"UE_R2_D";"TVA Due Intracom. (A) tx réduit 5.5%";"21"
"16";"UE_U_D";"TVA Due Intracom. (A) tx ultra-réduit";"22"
"17";"UE_X_D";"TVA Exonérée Intracom. (A)";"23"
"18";"IMP_X_D";"TVA Exonérée (A) Import";"24"
